Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Facebook,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,Широта,Долгота,2GIS URL
Aykun,СПА-салон,Бани и сауны; SPA-процедуры; Массажист,"Керей, Жанибек хандар улица, 12Б",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.8,76,87015478277 (администратор: пн-вс 10:00-23:00),,,,,http://aykunspa.tilda.ws,,,https://instagram.com/spa_aykun,,https://wa.me/77751211152,https://wa.me/77015478277,,,,51.115027,71.41559,https://2gis.com/firm/70000001067535800
Adler,гостевой дом,Бани и сауны; Банкетные залы; Гостиницы,"переулок Жоламан, 9",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,134,87777777186,87172677000,,dom_adler@bk.ru,,http://www.adler.kz,,,https://instagram.com/dom_adler,,https://wa.me/77777777186,,,,,51.173897,71.37392,https://2gis.com/firm/70000001026150749
Топаз,гостиница,Бани и сауны; Гостиницы,"Алиби Жангельдина улица, 6/1",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,159,87022220323,87172322923,,topaz_ek@mail.ru,,,,,https://instagram.com/topaz.komplex,,https://wa.me/77022220323,,,,,51.172597,71.413363,https://2gis.com/firm/70000001018109152
Коктал Пар,семейная сауна,Бани и сауны,"улица Ардагерлер, 25а",,,Коктал ж/м,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,120,87474612580,,,,,,,,https://instagram.com/koktal.par.sauna,,https://wa.me/77474612580,,,,,51.183522,71.34302,https://2gis.com/firm/70000001072541943
Айна Су,оздоровительный комплекс,Бани и сауны,"улица Жаханша Досмухамедулы, 4/1",1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 15:00-22:00; Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,3.1,9,87172414725,87756892330,,rahatkoshumtaev@gmail.com,,,,,,,https://wa.me/77756892330,,,,,51.181877,71.473775,https://2gis.com/firm/70000001019952822
Дровские бани,банный комплекс,Бани и сауны,"улица Беимбет Майлин, 10",1 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00 (до последнего гостя),+05:00,4.9,542,87017343999,,,vdrova_astana@mail.ru,,,,,https://instagram.com/bani.vdrova,,https://wa.me/77017343999,,,,https://t.me/korova_spa,51.143357,71.470521,https://2gis.com/firm/70000001055898414
Каракумские бани,,Бани и сауны,"3-й микрорайон, 77/1",,,3-й м-н,,,Целиноградский район,Акмолинская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,126,87011005655,,,,,,,,https://instagram.com/banya_karakum,,https://wa.me/77011005655,,,,,51.052547,71.560106,https://2gis.com/firm/70000001047533936
AMARI Health&Spa,,Бани и сауны; SPA-процедуры; Массажист,"улица Айша биби, 38",цокольный этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,440,87714370023,,,info@aisha-bibi.com,,http://amarispa.taplink.ws,,,https://instagram.com/amari_health_and_spa,,https://wa.me/77714370023,,,,,51.141659,71.393575,https://2gis.com/firm/70000001055040292
Сауна,,Бани и сауны,"улица Айнакол, 42",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,51,87071762050,,,,,,,,,,https://wa.me/77071762050,,,,,51.134362,71.50732,https://2gis.com/firm/70000001080351644
Семейная эко баня-хамам,,Бани и сауны,"переулок Шидерты, 8",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+05:00,4.9,128,87784000008,87172470017,,,,http://familybath.kz,,,,,https://wa.me/77784000008,,,,,51.177323,71.397819,https://2gis.com/firm/70000001065576121
Пихта,банный комплекс,Бани и сауны,"улица Ыкылас Дукенулы, 19/3",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.6,866,87059996733,,,pihta.2023@mail.ru,,http://pihta.kz,,,https://instagram.com/pihta2023,,https://wa.me/77059996733,,,viber://chat/?number=77059996733,https://t.me/+77059996733,51.179967,71.4257,https://2gis.com/firm/70000001068085016
Start,,Бани и сауны,"улица Мади, 1",,,Үркер ж/м,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-01:00,+05:00,4.8,156,87021365090,,,,,,,,https://instagram.com/start_family_banya,,https://wa.me/77021365090,,,viber://chat/?number=77021365090,,51.119724,71.247023,https://2gis.com/firm/70000001041083939
DV banya astana,,Бани и сауны,"улица Коныролен, 1Б",,,Тельман ж/м,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-03:00; Вт: 10:00-03:00; Ср: 10:00-03:00; Чт: 10:00-03:00; Пт: 10:00-03:00; Сб: 10:00-03:00; Вс: 10:00-03:00,+05:00,4.9,260,87011939940,,,,,,,,https://instagram.com/dv_banya_astana,,https://wa.me/77011939940,,,,,51.095266,71.494152,https://2gis.com/firm/70000001068429034
Жарқыл,сауна,Бани и сауны,"улица Маскеу, 14/4",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,134,87012175044,,,kachaganova73@inbox.ru,,,,,,,https://wa.me/77012175044,,,,,51.180119,71.397444,https://2gis.com/firm/70000001044349568
Тихая Гавань,банно-гостиничный комплекс,Бани и сауны; Гостиницы,"улица Балкантау, 7",1-2 этаж,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,99,87071211147,,,seit.rus74@mail.ru,,,,,https://instagram.com/gostinitsasaunai,,https://wa.me/77071211147,,,viber://chat/?number=77071211147,,51.139388,71.511643,https://2gis.com/firm/70000001023313198
Jansaya,зона отдыха,Бани и сауны; Базы отдыха; Конные клубы,"улица Чайка, 14",,,,,,Аршалынский район,Акмолинская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.4,675,87778313333,87780999066 (конный клуб),,jansaya_resort@mail.ru,,http://jansaya.2gis.biz/,,,https://instagram.com/jansaya_resort,,https://wa.me/77778313333,,,,,51.070736,71.749726,https://2gis.com/firm/70000001043809328
Bezpontov,,Бани и сауны; Базы отдыха,"6 микрорайон, 2/13",,,6-й м-н,,,Аршалынский район,Акмолинская область,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.7,195,,,,,,,,,https://instagram.com/bezpontov.qz,,https://wa.me/77027915448,,,,,51.091354,71.707734,https://2gis.com/firm/70000001056303096
Jagalau,база отдыха,Бани и сауны; Базы отдыха; Конные клубы,"трасса Астана-Караганда, 130/1",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (гостиница: пн-вс 9:00-00:00),+05:00,4.6,96,87476038845,,,,,,,,,,https://wa.me/77476038845,,,,,51.100558,71.718645,https://2gis.com/firm/70000001086836908
ParHouse,банный комплекс,Бани и сауны,"микрорайон 1, 72/11",,,1-й м-н,,,Аршалынский район,Акмолинская область,Казахстан,Вт: 14:00-23:00; Ср: 14:00-23:00; Чт: 14:00-23:00; Пт: 14:00-23:00; Сб: 14:00-23:00; Вс: 14:00-23:00,+05:00,4.3,107,87077002210,,,,,,,,https://instagram.com/parhouse_astana,,https://wa.me/77077002210,,,,,51.095151,71.722349,https://2gis.com/firm/70000001041790697
Достар,баня,Бани и сауны,"улица Бирлик, 41/1",,,,,,Аршалынский район,Акмолинская область,Казахстан,"Чт: 18:00-24:00; Пт: 18:00-24:00; Сб: 15:00-24:00; Вс: 15:00-24:00 (женские дни: вс; мужские дни: чт, пт, сб)",+05:00,4.5,25,87012994999,,,,,,,,,,https://wa.me/77012994999,,,,,51.084857,71.754855,https://2gis.com/firm/70000001069055316
Satti Vill,зона отдыха,Бани и сауны; Аренда беседок; Базы отдыха; Бассейны,"4-й микрорайон, 28а",,,4-й м-н,,,Аршалынский район,Акмолинская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,54,87783335704,,,,,,,,https://instagram.com/sattivill,,https://wa.me/77783335704,,,,,51.049846,71.791195,https://2gis.com/firm/70000001084404078
У Жалғаса,баня,Бани и сауны,"улица Бауыржан Момышулы, 30/1",,,,,,Аршалынский район,Акмолинская область,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.8,28,87025751444,,,,,,,,,,https://wa.me/77025751444,,,,,51.092353,71.732762,https://2gis.com/firm/70000001094247750
Хан-тау,баня,Бани и сауны,"улица Сарыарка, 24а",1 этаж,,,,,Аршалынский район,Акмолинская область,Казахстан,"Пт: 14:00-22:00; Сб: 14:00-22:00; Вс: 14:00-22:00 (мужские дни: пт, вс; женские дни: сб)",+05:00,3.9,3,87755725065,87012147955,,,,,,,,,https://wa.me/77755725065,https://wa.me/77012147955,https://wa.me/77084254803,,https://t.me/+77012147955,51.078651,71.748232,https://2gis.com/firm/70000001023627111
thebanya.01,,Бани и сауны,"улица Алии Молдагуловой, 42/1",,,1-й м-н,,,Аршалынский район,Акмолинская область,Казахстан,Пн: 09:00-02:00; Вт: 09:00-02:00; Ср: 09:00-02:00; Чт: 09:00-02:00; Пт: 09:00-02:00; Сб: 09:00-02:00; Вс: 09:00-02:00,+05:00,5.0,2,87024113223,,,,,,,,https://instagram.com/thebanya.01,,https://wa.me/77024113223,,,,,51.089096,71.728344,https://2gis.com/firm/70000001093607451
Акватория,банный комплекс,Бани и сауны,"улица Жамбыла Жабаева, 1/2",,,Железнодорожный ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.5,965,87752489944,,,,,,,,https://instagram.com/aquatoriya.kz,,https://wa.me/77752489944,,,,,51.147042,71.551902,https://2gis.com/firm/70000001092022819
Баня Рядом,,Бани и сауны,"проспект Бауыржан Момышулы, 20",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-05:00; Вт: 11:00-05:00; Ср: 11:00-05:00; Чт: 11:00-05:00; Пт: 11:00-05:00; Сб: 11:00-05:00; Вс: 11:00-05:00,+05:00,4.8,178,87775154500 (администрация),,,,,,,,https://instagram.com/banya_ryadom1,,https://wa.me/77775154500,https://wa.me/77774728498,,,,51.142001,71.486471,https://2gis.com/firm/70000001082528092
Prostokvashino,,Бани и сауны; Базы отдыха,"улица Коксай, 8",,,Интернациональный ж/м,Сарайшык район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,171,87081113811,,,,,,,,https://instagram.com/prostokvashino_ast,,https://wa.me/77081113811,,,,https://t.me/+77081113811,51.12358,71.591866,https://2gis.com/firm/70000001093100823
Семейная баня,,Бани и сауны,"улица Конституции, 7а",,,,,,Аршалынский район,Акмолинская область,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00 (по предварительной записи),+05:00,4.6,8,87751775560,,,,,,,,,,https://wa.me/77751775560,,,,,51.083965,71.751353,https://2gis.com/firm/70000001061449032
Алтын бу,общественная баня,Бани и сауны,"улица Габит Мусрепов, 11",,,,Алматы район,Астана,,Астана,Казахстан,Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00 (касса: вт-пт 11:00-21:00; сб-вс 9:00-21:00),+05:00,4.7,2070,87761503535,,,,,,,,https://instagram.com/altynbu.kz,,,,,,,51.1561,71.503621,https://2gis.com/firm/70000001023059387
Берлога,банный комплекс,Бани и сауны,"улица Жамбыла Жабаева, 64/2",,,Железнодорожный ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,243,87710888818 (администратор),,,,,,,,https://instagram.com/berloga_astana,,https://wa.me/77710888818,,,,,51.141347,71.578029,https://2gis.com/firm/70000001031375076
Pro par,банный клуб,Бани и сауны; SPA-процедуры,"переулок Ашутас, 10",,,Интернациональный ж/м,Сарайшык район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,147,87775040001,,,,,,,,https://instagram.com/pro_par_club,,https://wa.me/77775040001,,,,,51.123433,71.577042,https://2gis.com/firm/70000001054610858
Керемет,банно-оздоровительный комплекс,Бани и сауны,"проспект Туран, 19",,,,Нура район,Астана,,Астана,Казахстан,Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 09:00-23:00; Вс: 08:00-23:00 (касса: вт-пт 10:00-21:00; сб 9:00-21:00; вс 8:00-21:00),+05:00,3.8,1028,87172791800,87172791801,87077791800,,,,,,https://instagram.com/keremet.banya,,https://wa.me/77077791800,,,,,51.144735,71.409567,https://2gis.com/firm/70000001018130420
Сакские бани,,Бани и сауны,"улица Айголек, 11",,,Village-BAY коттеджный пос.,Сарайшык район,Астана,,Астана,Казахстан,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-03:00,+05:00,5.0,83,87477277246 (администратор),,,,,,,,https://instagram.com/qazaq_monshalary,,https://wa.me/77477277246,,,,,51.108441,71.558588,https://2gis.com/firm/70000001080692489
Теньговка,семейно-банный комплекс,Бани и сауны,"улица Мугалжар, 2/1",,,Тельман ж/м,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,898,87018002266,,,,,,,,https://instagram.com/tengovka,,https://wa.me/77018002266,,,,,51.096644,71.494023,https://2gis.com/firm/70000001052098336
Kazzhol Astana,гостиница,Бани и сауны; Гостиницы; Конференц-залы; Банкетные залы; Бассейны,"улица Балкантау, 213",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,270,87172405252,87172405210,87764126353,,,http://kazzhol.com/ru/astana/main/,http://kazzhol.com/ru/astana/rooms/,,https://instagram.com/kazzhol_astana_hotel,https://facebook.com/HotelKazzolAstana,https://wa.me/77764126353,,,,,51.136672,71.473186,https://2gis.com/firm/70000001018097773
888,банный комплекс,Бани и сауны; SPA-процедуры; Массажист; Косметолог; Эпиляция,"улица Жанайдар Жирентаев, 3",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.5,852,87757916888,87172579888,,,,http://www.banya888.kz,,,https://instagram.com/banya_888,,https://wa.me/77757916888,,,,,51.146797,71.475947,https://2gis.com/firm/70000001018084539
Кайсар,сауна на дровах,Бани и сауны,"улица Жайык, 17/2",,,Юго-Восток (левая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.4,324,87717000120,,,,,,,,,,https://wa.me/77717000120,,,,,51.147274,71.514695,https://2gis.com/firm/70000001018098454
Turan,банный комплекс,Бани и сауны,"улица Кобыз, 30",,,Юго-Восток (правая сторона) ж/м,Сарайшык район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,3.5,274,87768675132,,,,,,,,,,https://wa.me/77768675132,,,,,51.134537,71.518673,https://2gis.com/firm/70000001041071794
Демалыс,комплекс,Бани и сауны,"улица Каныш Сатпаев, 25",1 этаж,,,Алматы район,Астана,,Астана,Казахстан,"Пн: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00 (касса: пн, ср-пт 10:00-21:00; сб-вс 9:00-21:00)",+05:00,4.2,845,87172618600,87027432758,,,,,,,https://instagram.com/demalys_arasan_banya,,https://wa.me/77027432758,,,,,51.141164,71.47424,https://2gis.com/firm/70000001018084545
Heaven,комплекс саун,Бани и сауны; Аренда коттеджей,"улица Аксу-Аюлы, 6/1",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,161,87017212163,,,,,http://heavenspa.kz,,,https://instagram.com/heaven_of_astana,,https://wa.me/77017212163,,,,,51.134114,71.477918,https://2gis.com/firm/70000001046736067
Arabica,гостевой дом,Бани и сауны,"улица Ошакты, 10",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,448,87002008888,87012148828,87025172622,,,http://arabika.kz,,,https://instagram.com/arabica__astana,,https://wa.me/77012148828,https://wa.me/77002008888,https://wa.me/77025172622,,,51.134868,71.488508,https://2gis.com/firm/70000001045091341
Халяльная мужская традиционая баня,,Бани и сауны,"проспект Магжана Жумабаева, 33/1",1 этаж,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 14:00-24:00; Вт: 14:00-24:00; Ср: 14:00-24:00; Чт: 14:00-24:00; Пт: 14:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.7,293,87088888865,,,,,,,,https://instagram.com/dasturly_monsha,,https://wa.me/77088888865,https://wa.me/77017037627,,,,51.132193,71.494222,https://2gis.com/firm/70000001049969018
Орион,гостиница,Бани и сауны; Гостиницы,"улица Александра Пушкина, 3/2",,,Целинный м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,260,87012233636,87172373232,,,,http://www.orionhotel.kz,,,https://instagram.com/orion_hotel_astana,,https://wa.me/77012233636,,,,https://t.me/+77012233636,51.156717,71.454727,https://2gis.com/firm/70000001018109083
Аксу,гостиничный комплекс,Бани и сауны; Гостиницы,"Газеты Егемен Казахстан улица, 9/3",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.4,154,87172287329 (гостиница),87017391326 (ресепшн гостиницы),87774033157 (сауна),,,http://taplink.cc/aksuastana.kz,http://dikidi.net/1827019,http://www.aksu-astana.com,https://instagram.com/aksu_astana,,https://wa.me/77774033157,https://wa.me/77017391326,,,,51.170209,71.453522,https://2gis.com/firm/70000001018088316
Нұрдаулет,гостинично-банный комплекс,Бани и сауны; Гостиницы; Разливное пиво,"улица Айнакол, 1",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.2,196,87789286414,,,,,,,,,,https://wa.me/77789286414,,,,,51.140008,71.520121,https://2gis.com/firm/70000001018113089
Зейд,гостинично-ресторанный комплекс,Бани и сауны; Гостиницы; Бильярдные залы; Банкетные залы,"улица Агыбай батыра, 101",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-03:00; Пт: 10:00-03:00; Сб: 10:00-03:00; Вс: 10:00-03:00,+05:00,4.5,218,87756804747 (ресторан),87471200418 (гостиница),,,,http://zeid.kz,,,https://instagram.com/dk_zeid,,https://wa.me/77756804747,,,,,51.16324,71.442411,https://2gis.com/firm/70000001066649708
Лепота,банный комплекс,Бани и сауны,"улица Ошакты, 3",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,226,87011883308,,,,,,,,https://instagram.com/banya_lepota,,https://wa.me/77011883308,,,,,51.134613,71.487615,https://2gis.com/firm/70000001057692474
Бейбарс,сауна,Бани и сауны,"улица Шу, 45",,,Юго-Восток (левая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,97,87784600085,87021114940,,,,,,,https://instagram.com/vip_sauna_beibars,,https://wa.me/77784600085,,,,,51.148287,71.523421,https://2gis.com/firm/70000001094393759
Sultan,семейная баня,Бани и сауны,"улица Аршын, 11",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-02:00; Вт: 11:00-02:00; Ср: 11:00-02:00; Чт: 11:00-02:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-02:00,+05:00,4.4,118,87711499205,,,,,,,,https://instagram.com/banya.sultan01,,https://wa.me/77711499205,,,,,51.130842,71.48447,https://2gis.com/firm/70000001078934150
Арман кала,общественная баня,Бани и сауны,"улица Куйши Дина, 12/2",,,3 м-н,Алматы район,Астана,,Астана,Казахстан,Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00 (санитарный день: пн; касса: вт-пт 12:00-20:30; сб-вс 8:00-20:30),+05:00,3.2,120,87172341653,,,,,,,,,,,,,,,51.145284,71.471147,https://2gis.com/firm/70000001018081744
Бахрома,баня,Бани и сауны,"улица Балбырауын, 6",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,81,87719002080,,,,,,,,https://instagram.com/banya_bahroma,,https://wa.me/77719002080,,,,,51.132956,71.471786,https://2gis.com/firm/70000001048358758
Алатау,гостиничный комплекс,Бани и сауны; Гостиницы,"переулок Жайдарман, 3",1 этаж,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.9,94,87057140228 (гостиница),87779578368 (сауна),,,,,,,,,https://wa.me/77057140228,https://wa.me/77779578368,,,,51.137026,71.472123,https://2gis.com/firm/70000001039683688
Баня #1,общественная баня,Бани и сауны; Массажист,"проспект Абая, 88/4","2, 3 этаж",,,Байконыр район,Астана,,Астана,Казахстан,Вт: 13:00-24:00; Ср: 13:00-24:00; Чт: 13:00-24:00; Пт: 13:00-24:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,4.2,262,87078599270,,,,,,,,https://instagram.com/banya_nursultan,,https://wa.me/77078599270,,,,,51.164801,71.46635,https://2gis.com/firm/70000001042633305
