Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
Әли,барбершоп,Барбершопы,"Е-67 улица, 8",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,5.0,172,87781710386,,,,,,,,,https://wa.me/77781710386,,,,,,51.125712,71.398294,https://2gis.com/firm/70000001099976364
Ozger,барбершоп,Барбершопы; Обучение мастеров для салонов красоты,"улица Каныш Сатпаев, 20/1",1 этаж,,Қараөткел ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (по предварительной записи),+05:00,5.0,1128,87070616901,,,,http://n833577.alteg.io,,https://instagram.com/ozgege_uqsamaisyn,,https://vk.com/id839021325,https://wa.me/77070616901,,,,https://t.me/77470481571,,51.140658,71.476691,https://2gis.com/firm/70000001045286501
Logovo,,Барбершопы,"проспект Мангилик Ел, 51/2",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,2446,87003968940,,,d-kz@mail.ru,http://taplink.cc/logovo,,https://instagram.com/barbershop.logovo,,,https://wa.me/77003968940,,,,,,51.095355,71.423504,https://2gis.com/firm/70000001061804531
Logovo,,Барбершопы,"проспект Туран, 50/2",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,1153,87712733670,,,d-kz@mail.ru,http://taplink.cc/logovo,,https://instagram.com/barbershop.logovo,,,https://wa.me/77712733670,,,,,,51.105957,71.400537,https://2gis.com/firm/70000001087661106
Logovo,,Барбершопы,"улица Толе би, 44/1",НП: 25,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,540,87715610605,,,d-kz@mail.ru,http://taplink.cc/logovo,,https://instagram.com/barbershop.logovo,,,https://wa.me/77715610605,,,,,,51.121703,71.395721,https://2gis.com/firm/70000001094361274
Logovo,,Барбершопы,"улица Ахмет Байтурсынулы, 39/3",цокольный этаж,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-02:00,+05:00,4.9,806,87052977697,,,d-kz@mail.ru,http://taplink.cc/logovo,,https://instagram.com/barbershop.logovo,,,https://wa.me/77052977697,,,,,,51.119723,71.502256,https://2gis.com/firm/70000001081194839
Chop-Chop,,Барбершопы,"улица Александр Бараев, 21",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,592,87762293750,,,,,,https://instagram.com/chopchopastana,https://facebook.com/chopchopastana,,https://wa.me/77762293750,,,,,,51.158728,71.436716,https://2gis.com/firm/70000001018121595
Alfa Gentlemen,мужской салон,Барбершопы; Косметолог,"проспект Мангилик Ел, 52 блок B1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.8,187,87012232231,87172223223,,,http://alfagentlemen.kz,,https://instagram.com/alfagentlemen,,,https://wa.me/77012232231,,,,,,51.092233,71.426481,https://2gis.com/firm/70000001033156317
CROP Barbershop,,Барбершопы; Обучение мастеров для салонов красоты,"Керей, Жанибек хандар улица, 12/1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:59-21:00; Вт: 09:59-21:00; Ср: 09:59-21:00; Чт: 09:59-21:00; Пт: 09:59-21:00; Сб: 09:59-21:00; Вс: 09:59-21:00,+05:00,5.0,1572,87710007087,,,,http://crop-online.kz,,https://instagram.com/crop.barbershop,,,https://wa.me/77710007087,,,,,,51.114644,71.414443,https://2gis.com/firm/70000001044610450
CROP Barbershop,,Барбершопы; Обучение мастеров для салонов красоты,"улица Жумекен Нажимеденов, 20",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,547,87761039955,,,,http://crop-online.kz,,https://instagram.com/crop.barbershop,,,https://wa.me/77761039955,,,,https://t.me/+77761039955,,51.117624,71.481237,https://2gis.com/firm/70000001082013785
Бравый,барбершоп,Барбершопы,"Амангельды Иманова улица, 7",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.8,370,87012332366,,,,http://n268548.alteg.io/,,https://instagram.com/bravyi_astana,,,https://wa.me/77012332366,,,,,,51.163879,71.433194,https://2gis.com/firm/70000001077286792
Chop-Chop,,Барбершопы,"улица Динмухамед Конаев, 2",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.8,455,87773630044 (единый номер: пн-вс 10:00-21:00),,,,,,https://instagram.com/chopchopastana,https://facebook.com/chopchopastana,,https://wa.me/77762293750,,,,,,51.131177,71.418298,https://2gis.com/firm/70000001028512116
Logovo,,Барбершопы,"улица Алматы, 13",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,298,87716304800,,,d-kz@mail.ru,http://taplink.cc/logovo,,https://instagram.com/barbershop.logovo,,,https://wa.me/77716304800,,,,,,51.11611,71.432019,https://2gis.com/firm/70000001094612790
CROP Barbershop,,Барбершопы; Обучение мастеров для салонов красоты,"улица Орынбор, 12 Блок 2",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:59-21:00; Вт: 09:59-21:00; Ср: 09:59-21:00; Чт: 09:59-21:00; Пт: 09:59-21:00; Сб: 09:59-21:00; Вс: 09:59-21:00,+05:00,4.9,878,87754506315,,,,http://crop-online.kz,,https://instagram.com/crop.barbershop,,,https://wa.me/77754506315,,,,,,51.111956,71.406888,https://2gis.com/firm/70000001086971792
Logovo,,Барбершопы,"улица Жошы хан, 1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.8,328,87763968940,,,d-kz@mail.ru,http://taplink.cc/logovo,,https://instagram.com/barbershop.logovo,,,https://wa.me/77763968940,,,,,,51.096203,71.436396,https://2gis.com/firm/70000001095829903
Peaky,барбершоп,Барбершопы,"улица Сарайшык, 34",ВП: 3,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,784,87006300000,,,,http://b765689.alteg.io/select-city/73/select-branch,,https://instagram.com/peaky_barbershop,,,https://wa.me/77006300000,,,,,,51.131865,71.429143,https://2gis.com/firm/70000001025154321
Machete,барбершоп,Барбершопы,"улица Жанибека тархана, 2/6",1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.6,358,87079526992 (администратор),,,,,,https://instagram.com/machete.astana,https://facebook.com/profile.php?id=100073313341106,,https://wa.me/77079526992,,,,,,51.159748,71.442409,https://2gis.com/firm/70000001045832917
Taq,барбершоп,Барбершопы,"Кабанбай батыр проспект, 48а",,,,Есиль район,Астана,,Астана,Казахстан,"Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-13:00, 14:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00",+05:00,5.0,275,87756034222,,,,http://n1365001.alteg.io/,,https://instagram.com/taq.barbershop,,,https://wa.me/77756034222,,,,,,51.112252,71.411648,https://2gis.com/firm/70000001100857247
CROP Barber academy,,Барбершопы,"улица Ахмет Байтурсынулы, 6",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,363,87711816919,,,,http://n1331898.alteg.io,,https://instagram.com/crop.barbershop,,,https://wa.me/77711816919,,,,https://t.me/+77711816919,,51.120596,71.488977,https://2gis.com/firm/70000001095718063
CROP Barbershop,,Барбершопы; Обучение мастеров для салонов красоты,"проспект Туран, 34а",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:59-21:00; Вт: 09:59-21:00; Ср: 09:59-21:00; Чт: 09:59-21:00; Пт: 09:59-21:00; Сб: 09:59-21:00; Вс: 09:59-21:00,+05:00,4.9,605,87075605624,,,,http://crop-online.kz,,https://instagram.com/crop.barbershop,,,https://wa.me/77075605624,,,,,,51.121888,71.404084,https://2gis.com/firm/70000001088838282
Logovo,,Барбершопы,"улица Кенесары, 17",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,1000,87773968980,,,d-kz@mail.ru,http://taplink.cc/logovo,,https://instagram.com/barbershop.logovo,,,https://wa.me/77773968980,,,,,,51.163665,71.411765,https://2gis.com/firm/70000001083998231
OSME,,Барбершопы; Обучение мастеров для салонов красоты,"улица Абикен Бектуров, 1/2",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,200,87005505030,,,,,,https://instagram.com/osme.barbershop,,,https://wa.me/77005505030,,,,,,51.129663,71.396783,https://2gis.com/firm/70000001048667546
Logovo,,Барбершопы,"улица Ахмет Байтурсынулы, 47",1 этаж,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,1607,87711837701,,,d-kz@mail.ru,http://taplink.cc/logovo,,https://instagram.com/barbershop.logovo,,,https://wa.me/77711837701,,,,,,51.118237,71.51192,https://2gis.com/firm/70000001070513863
Ozger,барбершоп,Барбершопы; Обучение мастеров для салонов красоты,"проспект Ракымжан Кошкарбаев, 34",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (по предварительной записи),+05:00,4.9,438,87000216901,,,,http://n833577.alteg.io,,https://instagram.com/ozgege_uqsamaisyn,,https://vk.com/id839021325,https://wa.me/77000216901,,,,https://t.me/77470481571,,51.125117,71.483443,https://2gis.com/firm/70000001076596141
Бравый,барбершоп,Барбершопы,"проспект Туран, 59/2 блок B",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.8,282,87023331121,,,,http://n268548.alteg.io/,,https://instagram.com/bravyi_astana,,,https://wa.me/77023331121,,,,,,51.101721,71.393495,https://2gis.com/firm/70000001090585407
Logovo,,Барбершопы,"улица Бейбитшилик, 29",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,578,87773968927,,,d-kz@mail.ru,http://taplink.cc/logovo,,https://instagram.com/barbershop.logovo,,,https://wa.me/77773968927,,,,,,51.174216,71.418616,https://2gis.com/firm/70000001093750065
Aitmen,барбершоп,Барбершопы,"улица Туркестан, 10",внутри паркинга,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,740,87718748142,87172923580,,support@aitmen.kz,http://zapis.kz/barbershop-aitmen,,https://instagram.com/aitmen_barbershop,,,https://wa.me/77718748142,,,,,,51.110759,71.42602,https://2gis.com/firm/70000001100414104
OldBoy,барбершоп,Барбершопы,"улица Динмухамед Конаев, 10",7 бутик; 1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,325,87000203680,,,oldboy.astana@gmail.com,http://oldboybarbershop.com/astana/izumrud,,https://instagram.com/oldboy_astana,,,https://wa.me/77000203680,,,,,,51.131096,71.423854,https://2gis.com/firm/70000001034808555
Brutality,,Барбершопы,"проспект Мангилик Ел, 26",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,355,87018015777,,,,http://zapis.kz/brutality-barbershop,,https://instagram.com/brutality.barbershop,,,https://wa.me/77018015777,,,,,,51.114039,71.434399,https://2gis.com/firm/70000001055718833
No Cap barber studio,,Барбершопы,"Кабанбай батыр проспект, 13",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,269,87070621562,,,,http://n1357652.alteg.io,,https://instagram.com/nocap.barberstudio,,,https://wa.me/77070621562,,,,,,51.137412,71.415267,https://2gis.com/firm/70000001098637940
Traditional Barbershop,,Барбершопы,"проспект Мангилик Ел, 41/2",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.8,409,87475678866,,,,,,https://instagram.com/traditionalbarbershop.kz,,,https://wa.me/77475678866,,,,,,51.100799,71.427551,https://2gis.com/firm/70000001036483273
Line Up,барбершоп,Барбершопы,"Бухар жырау улица, 40",7 офис,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.9,205,87711184107,,,,http://n1321684.alteg.io,,https://instagram.com/line.up.ast,,,https://wa.me/77711184107,,,,https://t.me/+77711184107,,51.096436,71.447259,https://2gis.com/firm/70000001034709492
Gala,барбершоп,Барбершопы,"улица Анет баба, 9/1а",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.8,79,87756344159,,,,,,,,,https://wa.me/77756344159,,,,,,51.136327,71.38423,https://2gis.com/firm/70000001101423942
313,барбершоп,Барбершопы,"улица Касыма Аманжолова, 28/2",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.9,392,87089244818,,,,http://zapis.kz/313-barbershop,,https://instagram.com/313_barbershop,,,https://wa.me/77089244818,,,,,,51.122592,71.476007,https://2gis.com/firm/70000001089169242
Cut,,Барбершопы,"улица Сыганак, 37",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00 (по предварительной записи),+05:00,5.0,47,87005354353,,,,http://dikidi.ru/1795421,,,,,https://wa.me/77005354353,,,,,,51.124329,71.424585,https://2gis.com/firm/70000001098517113
Khair.barbershop,,Барбершопы,"проспект Тауелсиздик, 6",107 кабинет; 1 этаж,,1 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,562,87020002638,,,,http://zapis.kz/khair-barbershop,http://www.tiktok.com/@khair.barbershop,https://instagram.com/khair.barbershop,,,https://wa.me/77020002638,,,,,,51.150153,71.457831,https://2gis.com/firm/70000001082771751
Lucky style,,Барбершопы; Тату-салоны,"Кабанбай батыр проспект, 7/1",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00 (по предварительной записи),+05:00,4.9,337,87477721015,,,,http://n768540.alteg.io/,,https://instagram.com/luckystylestudio,,,https://wa.me/77477721015,,,,https://t.me/luckystyles,,51.143434,71.416784,https://2gis.com/firm/70000001059248753
CROP Barbershop,,Барбершопы; Обучение мастеров для салонов красоты,"улица Санжара Асфендиярова, 8",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,376,87018968382,,,,http://crop-online.kz,,https://instagram.com/crop.barbershop,,,https://wa.me/77018968382,,,,,,51.134503,71.381632,https://2gis.com/firm/70000001096899128
Peaky,барбершоп,Барбершопы,"проспект Тауелсиздик, 21/2",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,724,87087213003,,,,http://b765689.alteg.io/company/719365/menu?o=,,https://instagram.com/peaky_barbershop,,,https://wa.me/77087213003,,,,,,51.145621,71.45863,https://2gis.com/firm/70000001062022042
Winchester,барбершоп,Барбершопы,"Кабанбай батыр проспект, 18",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,814,87005050503,,,,http://n123531.alteg.io,,https://instagram.com/barbershop.winchester,,,https://wa.me/77005050503,,,,https://t.me/+77005050503,,51.140675,71.418989,https://2gis.com/firm/70000001038239111
Barber Academy,барбершоп и профессиональный учебный центр,Барбершопы; Обучение мастеров для салонов красоты,"проспект Улы Дала, 45/1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.8,592,87786926844,87172729655,,,http://maps.app.goo.gl/4AvftXUqCQQYGhcZ8,,https://instagram.com/barber_academy.kz,,,https://wa.me/77786926844,,,,,,51.097817,71.421462,https://2gis.com/firm/70000001031366540
Urban,барбершоп,Барбершопы,"улица Калибек Куанышбаев, 11/1",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,844,87055115776,,,,http://n744700.alteg.io/select-city/73/select-branch?o=,,,,,https://wa.me/77055115776,,,,,,51.121641,71.476623,https://2gis.com/firm/70000001059830184
Aitmen,барбершоп,Барбершопы,"проспект Тауелсиздик, 56/1",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,417,87768418737,,,support@aitmen.kz,http://zapis.kz/barbershop-aitmen,,https://instagram.com/aitmen_barbershop,,,https://wa.me/77768418737,,,,,,51.116355,71.466849,https://2gis.com/firm/70000001100095272
4Bro,барбершоп,Барбершопы; Обучение мастеров для салонов красоты,"проспект Улы Дала, 57",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,5.0,433,87760100400,,,,http://n530629.alteg.io,,https://instagram.com/barbershop.4bro,,,https://wa.me/77760100400,,,,,,51.094476,71.437355,https://2gis.com/firm/70000001036385024
Snob,,Барбершопы,"проспект Ракымжан Кошкарбаев, 48",цокольный этаж,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,246,87051683379,,,,http://zapis.kz/salon/7319,,https://instagram.com/snob.astana,,,https://wa.me/77051683379,,,,,,51.128178,71.495747,https://2gis.com/firm/70000001069031801
TTM,барбершоп,Барбершопы,"улица Малика Габдуллина, 16",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.9,273,87757077648,,,,,,https://instagram.com/ttmbarbershop2024,,,https://wa.me/77757077648,,,,,,51.164775,71.432112,https://2gis.com/firm/70000001084173113
True Barbershop,барбершоп,Барбершопы,"улица Кайым Мухамедханов, 4/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,246,87056220205,,,,http://zapis.kz/salon/9755,,https://instagram.com/true.barbershop.astana,,,https://wa.me/77056220205,,,,,,51.135752,71.400671,https://2gis.com/firm/70000001084118799
Khanzada Barbershop,,Барбершопы,"Бухар жырау улица, 28",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,436,87767244477,,,,,,https://instagram.com/khanzada_barbershop,,,https://wa.me/77767244477,,,,,,51.101271,71.415541,https://2gis.com/firm/70000001065398225
Urban,барбершоп,Барбершопы,"улица Сыганак, 33",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.8,369,87474078916,,,,http://n832138.alteg.io/company/780949/personal/menu?o=,,https://instagram.com/urban_keruen,,,https://wa.me/77474078916,,,,,,51.124736,71.422639,https://2gis.com/firm/70000001081682616
Berloga Premium,барбершоп,Барбершопы; Обучение мастеров для салонов красоты,"улица Е 900, 4",,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,50,87085001011,,,berloga.nursultan@gmail.com,,,https://instagram.com/berloga.astana,,,https://wa.me/77085001011,,,,,,51.13366,71.393924,https://2gis.com/firm/70000001102591723
Logovo,,Барбершопы,"улица Кайым Мухамедханов, 20",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,472,87773968952,,,d-kz@mail.ru,http://taplink.cc/logovo,,https://instagram.com/barbershop.logovo,,,https://wa.me/77773968952,,,,,,51.142751,71.366339,https://2gis.com/firm/70000001093571771
Myrza,,Барбершопы,"улица Сыганак, 54",,,,Есиль район,Астана,,Астана,Казахстан,"Пн: 10:00-14:00, 15:00-22:00; Вт: 10:00-14:00, 15:00-22:00; Ср: 10:00-14:00, 15:00-22:00; Чт: 10:00-14:00, 15:00-22:00; Пт: 10:00-14:00, 15:00-22:00; Сб: 10:00-14:00, 15:00-22:00; Вс: 10:00-14:00, 15:00-22:00",+05:00,5.0,214,87071335055,,,,http://dikidi.net/629033,,https://instagram.com/barbershop_number1,,,https://wa.me/77071335055,,,,,,51.124021,71.420934,https://2gis.com/firm/70000001095354444
AKO,барбершоп,Барбершопы; Обучение мастеров для салонов красоты,"улица Максут Нарикбаев, 22",около мини-маркет Lemon,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,153,87020545264 (админстратор),87718247303 (руководитель),,,http://n824009.alteg.io,,https://instagram.com/ako.barberr,,,https://wa.me/77020545264,,,,,,51.145765,71.383623,https://2gis.com/firm/70000001076061899
