Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Telegram,YouTube,Широта,Долгота,2GIS URL
The One Hotel Astana,гостиница,SPA-процедуры; Гостиницы; Конференц-залы,"улица Кадыргали Жалайыри, 8",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,125,87172333700,87172222700,87085007687,,,http://theone-astana.kz,,https://instagram.com/theone_hotel_astana,,,https://wa.me/77085007687,https://wa.me/77712222400,,,,51.139262,71.447068,https://2gis.com/firm/70000001028303693
Aisera Clinic,,SPA-процедуры; Многопрофильные медицинские центры; Медицинская диагностика; Гинеколог; Уролог; Терапевт; Невролог; ЛОР (отоларинголог); Диетолог; Кардиолог; Флеболог; Хирург; Физиотерапевт; Косметолог; Медицинские анализы; Очищение организма; Гастроэнтеролог; Массажист; Эндокринолог; Нефролог; Массажное оборудование; Процедурный кабинет; Ревматолог; Гидромассажное оборудование; Ангиохирург; Детские врачи; Андролог; Мануальный терапевт; Услуги тейпирования; Остеопат; Спортивный врач; Реабилитационные центры; Рефлексотерапевт; Вертебролог; Проктолог; Пульмонолог; Занятия ЛФК; Травматолог-ортопед; Дерматолог,"улица Жумекен Нажимеденов, 14",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-17:00; Вс: 09:00-14:00,+05:00,4.7,457,87084250938,87172250938,,aiseraclinic@gmail.com,,http://aiseraclinic.kz,,https://instagram.com/aisera_clinic,https://facebook.com/Aisera-Clinic-112737354524862,,https://wa.me/77084250938,,,,https://youtube.com/channel/UCJWfx09dNG9Y6ccmQQZ3IrQ/about,51.118386,71.476331,https://2gis.com/firm/70000001056306325
Lotus Thai SPA,салон тайского массажа,SPA-процедуры; Массажист,"проспект Тауелсиздик, 34/2",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,60,87750516262,87710718008,87010728008,,,http://lotus.kz/ru/,,https://instagram.com/_lotus_thai_spa,,,https://wa.me/77750516262,,,,,51.138374,71.46635,https://2gis.com/firm/70000001097454561
Хан Келдi,банный комплекс,SPA-процедуры; Бани и сауны; Массажист,"улица Беимбет Майлин, 37а",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,492,87784176834,,,,,http://khankeldi.kz,,https://instagram.com/khan_keldi.kz,,,https://wa.me/77784176834,,,,,51.14883,71.48619,https://2gis.com/firm/70000001057739039
AISHA BIBI HOTEL&SPA,гостиничный комплекс,SPA-процедуры; Гостиницы; Бани и сауны; Массажист; Конференц-залы,"улица Айша биби, 38",,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,415,87718994209 (отдел бронирования ),87714370023 (спа),87710333686 (конференц-зал ),info@aisha-bibi.com,sales@aisha-bibi.com,http://aishabibi.2gis.biz,http://aisha-bibi.com,https://instagram.com/aishabibi_hotel,,,https://wa.me/77718994209,https://wa.me/77714370023,,,,51.141609,71.393513,https://2gis.com/firm/70000001031888190
Имбирь,SPA-салон,SPA-процедуры; Массажист,"проспект Тауелсиздик, 40/5",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.6,240,87715362111,87015352111,,,,http://www.imbir.kz,,https://instagram.com/imbir_thai_spa,,,https://wa.me/77081118098,,,,,51.132826,71.470288,https://2gis.com/firm/70000001026026818
AqMonsha,банный комплекс,SPA-процедуры; Бани и сауны; Массажист; Эпиляция,"улица Алихан Бокейхан, 34Б",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 10:00-24:00; Вс: 10:00-24:00 (санитарный день: последний пн месяца; последний прием в рабочие дни: 20:30; в выходные дни: 21:30),+05:00,4.4,1271,87028123707 (баня),,,,,,,https://instagram.com/aqmonsha_astana,,,https://wa.me/77028123707,,,,,51.093445,71.429351,https://2gis.com/firm/70000001065444076
Persona Spa,,SPA-процедуры; Массажист,"улица Темирбек Жургенов, 18",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.9,911,87787004150 (ресепшен ),87078555707,,,,http://personaspa.kz,,https://instagram.com/personaspa.kz,,,https://wa.me/77078555707,https://wa.me/77787004150,,,,51.113409,71.501317,https://2gis.com/firm/70000001047365059
Xпресс Fitness,фитнес-клуб,SPA-процедуры; Фитнес-клубы; Тренажёрные залы; Спортивные секции; Спортивное питание,"улица Шамши Калдаяков, 4","с левой стороны от вывески, за лестницей",,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+05:00,4.7,253,87018003017,,,,,,,https://instagram.com/xpressfitness_astana,,,https://wa.me/77018003017,,,,,51.118319,71.456826,https://2gis.com/firm/70000001018075604
У Реки,банный комплекс,SPA-процедуры; Бани и сауны; Массажист,"улица А-42, 10",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,34,87017777011,,,,,,,https://instagram.com/ureki.bani.astana,,,https://wa.me/77017777011,,,,,51.105715,71.502971,https://2gis.com/firm/70000001086793734
Onyx Spa,СПА-центр,SPA-процедуры; Массажист,"улица Достык, 1/2",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.8,300,87014555522,,,,,http://taplink.cc/onyxspa,,https://instagram.com/onyx_spa_astana,,,https://wa.me/77014555522,,,,,51.1292,71.419756,https://2gis.com/firm/70000001069595688
Renaissance,СПА-центр,SPA-процедуры; Массажист,"улица Кажымукан, 1",1 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 14:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.1,162,87172369112,87788530386,,,,,,https://instagram.com/renaissance_spa_center,,,https://wa.me/77788530386,,,,,51.153196,71.459948,https://2gis.com/firm/70000001018072349
Therma,банный комплекс,SPA-процедуры; Бани и сауны; Массажист; Соляные комнаты,"проспект Туран, 52",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.5,1003,87068371717,,,info@thermaspa.kz,,,,https://instagram.com/thermakz,,,https://wa.me/77068371717,,,,,51.105223,71.397481,https://2gis.com/firm/70000001064264054
Sheraton,СПА и фитнес-центр,SPA-процедуры; Фитнес-клубы; Тренажёрные залы; Аквааэробика; Массажист,"улица Сыганак, 60/1",3 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,4.8,82,87773106162,,,,,,,https://instagram.com/sheratonastanahotel,https://facebook.com/SheratonAstana,,https://wa.me/77773106162,,,,,51.122636,71.427076,https://2gis.com/firm/70000001048402789
Имбирь,SPA-салон,SPA-процедуры; Массажист,"проспект Мангилик Ел, 29/2",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.5,447,87015386222,,,,,http://www.imbir.kz,,https://instagram.com/imbir_thai_spa,,,https://wa.me/77015386222,,,,,51.108673,71.429853,https://2gis.com/firm/70000001030061341
My Thai,салон тайского массажа,SPA-процедуры; Массажист,"улица Жумабека Ташенова, 8/3",НП: 2,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.7,258,87012022002,,,,,,,https://instagram.com/mythaispa.astana,,,https://wa.me/77012022002,,,,,51.15193,71.434809,https://2gis.com/firm/70000001080749485
Relax fit,центр здоровья и красоты,SPA-процедуры; Фитнес-клубы; Массажист; Бассейны; Тренажёрные залы,"улица Балкантау, 213",цокольный этаж,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,4.5,105,87172405210,87752737312,87003070091,,,http://www.kazzhol.com,,https://instagram.com/_relaxfitness_,https://facebook.com/100016877346472,,https://wa.me/77003070091,,,https://t.me/77003070091,,51.136701,71.472877,https://2gis.com/firm/70000001024903795
Sobo,СПА-салон,SPA-процедуры; Массажист,"улица Алихан Бокейхан, 11а",,,Заречное ж/м,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,328,87020006881,,,,,,,https://instagram.com/sobo.spa,,,https://wa.me/77020006881,,,,,51.104658,71.434366,https://2gis.com/firm/70000001063805202
Delight SPA,оздоровительный СПА-салон,SPA-процедуры; Массажист,"улица Анатолий Храпатый, 14",НП: 4,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.9,452,87077006343,,,,,http://delightspa.kz,http://www.tiktok.com/@spadelight.ast?_t=8erDEpY489N&_r=1,https://instagram.com/spa.delight,https://facebook.com/spa.delight,,https://wa.me/77077006343,,,https://t.me/safetygroups,,51.111487,71.463291,https://2gis.com/firm/70000001047534867
The spa,салон,SPA-процедуры; Массажист,"улица Шарль де Голль, 3/1",,,Ак-булак-2 ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (по предварительной записи),+05:00,4.7,290,87711000233,,,,,,,https://instagram.com/thespa_astana,,,https://wa.me/77711000233,,,,,51.142522,71.448919,https://2gis.com/firm/70000001035385635
Имбирь,SPA-салон,SPA-процедуры; Массажист,"улица Алихан Бокейхан, 24",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,164,87081118098,,,,,http://www.imbir.kz,,https://instagram.com/imbir_thai_spa,,,https://wa.me/77081118098,,,,,51.100529,71.431992,https://2gis.com/firm/70000001093629504
Лотос,салон красоты,SPA-процедуры; Парикмахерские; Ногтевые студии; Массажист; Оформление бровей и ресниц,"улица Жумекен Нажимеденов, 13","вход с торца, НП: 27",,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,4.9,129,87717636326,,,,,,,https://instagram.com/lotosbeauty_astana,,,https://wa.me/77717636326,,,,,51.114738,71.510071,https://2gis.com/firm/70000001099184056
Orchidea thai,СПА-центр,SPA-процедуры; Массажист,"проспект Бауыржан Момышулы, 23",,,Қараөткел ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.4,162,87172238118,87787356666,,,,,,https://instagram.com/orchideaspa,,,https://wa.me/77787356666,,,,,51.14055,71.478559,https://2gis.com/firm/70000001027826218
Santé Beauty Clinic,салон красоты,SPA-процедуры; Массажист; Косметолог; Парикмахерские; Ногтевые студии; Эпиляция,"улица Амман, 6",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,47,87785332222,87172332222,,,,,,https://instagram.com/sante_beautyclinic,,,https://wa.me/77785332222,,,,,51.144102,71.445602,https://2gis.com/firm/70000001021007113
Thai`m,SPA-салон,SPA-процедуры; Массажист,"проспект Мангилик Ел, 38",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,868,87764288288,,,,,,,https://instagram.com/thaim.spa,,,https://wa.me/77764288288,,,,,51.104426,71.432156,https://2gis.com/firm/70000001063828787
Bali SPA,центр здоровья и красоты,SPA-процедуры; Бассейны; Тренажёрные залы; Массажист,"улица Динмухамед Конаев, 29/2",3 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00 (до последнего клиента),+05:00,4.5,758,87083158807,,,,,,,https://instagram.com/balispa_astana,,,https://wa.me/77083158807,,,,,51.131982,71.428298,https://2gis.com/firm/70000001035968932
Semeynoye_spa_astana,,SPA-процедуры; Бани и сауны; Массажист,"улица Кайрат Рыскулбеков, 8/4",,,Аль-Фараби м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-01:00,+05:00,4.8,73,87754302959,,,,,,,https://instagram.com/semeynoye_spa_astana,,,https://wa.me/77754302959,,,,,51.154813,71.49974,https://2gis.com/firm/70000001097865296
Имбирь Thai SPA Platinum,,SPA-процедуры; Массажист; Косметолог,"улица Сыганак, 48а",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.8,241,87710333888,,,,,http://www.imbir.kz,,https://instagram.com/imbir_platinum,,,https://wa.me/77710333888,,,,,51.125352,71.409429,https://2gis.com/firm/70000001066193837
Persona Spa,,SPA-процедуры; Массажист,"улица Шокана Уалиханова, 9/1",цокольный этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.9,476,87078555707,87788640880 (ресепшен),,,,,,https://instagram.com/personaspa.kz,,,https://wa.me/77078555707,https://wa.me/77788640880,,,,51.166061,71.438945,https://2gis.com/firm/70000001069511463
Beauty House,салон красоты,SPA-процедуры; Центры йоги; Ногтевые студии; Парикмахерские; Косметолог; Эпиляция; Оформление бровей и ресниц; Массажист; ВУМ гимнастика; Обучение мастеров для салонов красоты; Визажисты,"улица Сарайшык, 27/3","1, 2 этаж",,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.7,101,87010223399,,,,,http://zapis.kz/salon-beauty-house,,https://instagram.com/beauty_house.astana,,,https://wa.me/77010223399,,,,,51.132499,71.427058,https://2gis.com/firm/70000001019497156
Pro par,банный клуб,SPA-процедуры; Бани и сауны,"переулок Ашутас, 10",,,Интернациональный ж/м,Сарайшык район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,147,87775040001,,,,,,,https://instagram.com/pro_par_club,,,https://wa.me/77775040001,,,,,51.123433,71.577042,https://2gis.com/firm/70000001054610858
Aura,SPA-пространство,SPA-процедуры; Косметолог; Массажист,"Бухар жырау улица, 30",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.8,591,,,,,,,,https://instagram.com/aura_spa_kz,,,https://wa.me/77778498757,,,,,51.100044,71.42575,https://2gis.com/firm/70000001036079310
Dolce-noce,студия массажа,SPA-процедуры; Массажист,"улица Туркестан, 10",цокольный этаж; слева от 6 подъезда,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,398,87478964356,,,,,http://b770487.alteg.io,,https://instagram.com/massage.dolce.noce,,,https://wa.me/77478964356,,,,,51.109967,71.42727,https://2gis.com/firm/70000001064341278
Светлый,салон красоты,SPA-процедуры; Парикмахерские; Ногтевые студии; Эпиляция; Оформление бровей и ресниц; Визажисты; Массажист,"улица Сарайшык, 7/1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,4.8,163,87785761008,,,,,,,https://instagram.com/svetliy.salon,,,https://wa.me/77785761008,,,,,51.135979,71.428693,https://2gis.com/firm/70000001097217910
Osha Spa,,SPA-процедуры; Массажист,"Кабанбай батыр проспект, 13",,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00 (по предварительной записи),+05:00,4.7,246,87070143392,,,,,,,https://instagram.com/osha.thaispa,,,https://wa.me/77070143392,,,,,51.138748,71.414131,https://2gis.com/firm/70000001090713126
Ева,семейный СПА-центр,SPA-процедуры; Массажист,"проспект Мангилик Ел, 17",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00 (по предварительной записи),+05:00,4.8,238,87015668108 (SPA-салон),,,,,,,https://instagram.com/eva_spa_astana,,,https://wa.me/77015668108,,,,,51.117474,71.43312,https://2gis.com/firm/70000001018127689
Iridium,СПА-центр,SPA-процедуры; Массажист; Косметолог; Бани и сауны,"Кабанбай батыр проспект, 1",3 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+05:00,4.7,18,87172790888,87775227305,,,,http://papermark.com/view/cmf6n66xr0003jv042zos3sgh,,https://instagram.com/stregisastana,https://facebook.com/stregisastana,,https://wa.me/77775227305,,,,https://youtube.com/user/StRegisHotels,51.152747,71.424436,https://2gis.com/firm/70000001028790459
Anjana,СПА-центр,SPA-процедуры; Бани и сауны; Массажист; Косметолог,"улица Динмухамед Конаев, 7",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+05:00,3.8,64,87172245050,87010227775,,,,http://rixos.com,,https://instagram.com/anjana.spa,,,https://wa.me/77010227775,,,,,51.133921,71.421903,https://2gis.com/firm/70000001018379843
BS beauty club,SPA-салон,SPA-процедуры; Косметолог; Массажист,"улица Евгения Брусиловского, 5",2 этаж; ВП: 40,,Целинный м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.8,225,87784418986,87075115353,,,,http://www.bs-club.kz,,https://instagram.com/bs_beauty_club,,,https://wa.me/77784418986,https://wa.me/77075115353,,,,51.161268,71.455421,https://2gis.com/firm/70000001039106534
Bikesh Massaj&Terapia,,SPA-процедуры; Массажист,"улица Туркестан, 28/1",НП: 1,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-01:00,+05:00,4.7,361,87057165939,,,,,,,https://instagram.com/bikesh_massage_terapia,,,https://wa.me/77057165939,,,,,51.10173,71.425655,https://2gis.com/firm/70000001064863918
BiKe,СПА-комплекс,SPA-процедуры; Соляные комнаты; Массажист,"улица Жанибека тархана, 17",1 этаж,,Целинный м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (по предварительной записи),+05:00,4.5,146,87757114981,,,,,,,https://instagram.com/spabike_astana,,,https://wa.me/77757114981,,,,,51.159119,71.456582,https://2gis.com/firm/70000001048004594
Celebrity SPA,салон,SPA-процедуры; Косметолог; Парикмахерские; Визажисты; Ногтевые студии; Бани и сауны; Массажист; Эпиляция,"проспект Туран, 30",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,4.5,67,87172567755,87011000709,,,,http://www.celebrityspa.kz,,https://instagram.com/celebrityspa,,,https://wa.me/77011000709,,,,,51.129069,71.406256,https://2gis.com/firm/70000001019502472
Soul City Spa,,SPA-процедуры; Парикмахерские; Ногтевые студии; Косметолог; Оформление бровей и ресниц; Эпиляция,"проспект Мангилик Ел, 17",2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.8,88,87172299429,87758885775,,,,,,https://instagram.com/soul_city_spa,,,https://wa.me/77758885775,,,,,51.117474,71.43312,https://2gis.com/firm/70000001022465849
Восточная Аура,SPA-салон,SPA-процедуры; Массажист,"улица Хиуаз Доспанова, 1",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-03:00; Вт: 10:00-03:00; Ср: 10:00-03:00; Чт: 10:00-03:00; Пт: 10:00-03:00; Сб: 10:00-03:00; Вс: 10:00-03:00 (по предварительной записи),+05:00,4.9,93,87074004066,,,,,,,https://instagram.com/vostochnaya_aura,,,https://wa.me/77074004066,,,,,51.126034,71.506481,https://2gis.com/firm/70000001041552131
Jan&Par,баня на пеллетах,SPA-процедуры; Косметолог; Бани и сауны; Товары для бань и саун; Массажист,"проспект Бауыржан Момышулы, 2",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,21,87714444474,,,,,,,https://instagram.com/spa_janpar,,,https://wa.me/77714444474,,,,,51.130872,71.459274,https://2gis.com/firm/70000001104518926
Let`s Relax,СПА-центр,SPA-процедуры; Ногтевые студии; Косметолог; Массажист; Эпиляция; Оформление бровей и ресниц; Обучение мастеров для салонов красоты,"улица Шамши Калдаяков, 4",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.9,90,87718115437,,,,,http://zapis.kz/spa-lets-relax,,https://instagram.com/spa_lets_relax,,,https://wa.me/77718115437,https://wa.me/77782133014,,https://t.me/+77782133014,,51.118319,71.456826,https://2gis.com/firm/70000001040394552
Buddha Spa Premium,,SPA-процедуры; Массажист,"проспект Туран, 54",,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,4.8,738,87005298001 (администратор),,,,,http://kuula.co/share/5n2zY/collection/7cFJ9,,https://instagram.com/buddhaspa_premium_astana,,,https://wa.me/77005298001,,,,,51.103855,71.397484,https://2gis.com/firm/70000001082832139
Royal Beauty,салон красоты,SPA-процедуры; Парикмахерские; Ногтевые студии; Косметолог; Массажист; Оформление бровей и ресниц; Эпиляция; Визажисты,"улица Сарайшык, 9",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00 (по предварительной записи),+05:00,4.7,38,87172602444,87024823434,,,,,,https://instagram.com/royal_beauty_astana,,,https://wa.me/77024823434,,,,,51.134723,71.429566,https://2gis.com/firm/70000001018113208
