Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,Широта,Долгота,2GIS URL
Chaihana NAVAT,ресторан,Рестораны; Доставка еды,"Кабанбай батыр проспект, 21",3 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00 (служба доставки: пн-вс 10:30-22:00),+05:00,4.9,16478,87778441111,,,chaihana.navat.kz@gmail.com,,,http://navat.kz,,,https://instagram.com/navat_astana,,,,,,https://facebook.com/navat.kz,,,,,,https://wa.me/77778441111,,,,,,,,,https://youtube.com/channel/UCG1BLltcElVfRcoH5Z8pHEg,,,,,,51.128249,71.412681,https://2gis.com/firm/70000001040709213
Pro.Хинкали,ресторан грузинской кухни,Рестораны; Кафе; Доставка еды,"улица Динмухамед Конаев, 8/1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.7,123,87775779981,,,,,,http://prokhinkali.com,,,https://instagram.com/prokhinkali.astana,,,,,,,,,,,,https://wa.me/77775779981,,,,,,,,,,,,,,,51.129854,71.424388,https://2gis.com/firm/70000001103268023
Ырыс,ресторан национальной кухни,Рестораны,"улица Култегин, 10",,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,31,87471478888,,,,,,,,,https://instagram.com/yrys_astana,,,,,,,,,,,,https://wa.me/77471478888,,,,,,,,,,,,,,,51.132714,71.374557,https://2gis.com/firm/70000001104402472
Бейжің Хого,,Рестораны,"улица Каныш Сатпаев, 13/1",,,3 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,4.7,38,87781704359,87077850566 (администратор на китайском языке),,,,,,,,https://instagram.com/beijinghotpot_astana,,,,,,,,,,,,https://wa.me/77781704359,https://wa.me/77077850566,,,,,,,,,,,,,,51.146775,71.470583,https://2gis.com/firm/70000001096814311
People`s,лаундж-бар,Рестораны; Бары,"улица Е 900, 2",,,,Нура район,Астана,,Астана,Казахстан,Пн: 13:00-02:00; Вт: 13:00-02:00; Ср: 13:00-02:00; Чт: 13:00-02:00; Пт: 13:00-03:00; Сб: 13:00-03:00; Вс: 13:00-02:00,+05:00,4.9,142,87755052607,,,,,,,,,https://instagram.com/peoples.astana,,,,,,,,,,,,https://wa.me/77755052607,,,,,,,,,,,,,,,51.132038,71.394036,https://2gis.com/firm/70000001092014868
Dio Grand Cafe,,Рестораны; Банкетные залы; Караоке-залы,"улица Сарайшык, 34в",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 08:30-24:00; Вт: 08:30-24:00; Ср: 08:30-24:00; Чт: 08:30-24:00; Пт: 08:30-01:00; Сб: 10:00-01:00; Вс: 10:00-24:00,+05:00,4.8,475,87006005363,,,,,,http://diograndcafe.kz/,,,https://instagram.com/dio.grandcafe,,,,,,,,,,,,https://wa.me/77006005363,,,,,,,,,,,,,,,51.133039,71.43293,https://2gis.com/firm/70000001084131932
Bayesta,ресторан,Рестораны,"улица Анет баба, 12",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.7,233,87077554962,87013403979,87759871219,bayesta@mail.ru,,,,,,https://instagram.com/bayesta_rest,,,,,,,,,,,,https://wa.me/77077554962,https://wa.me/77759871219,https://wa.me/77013403979,,,,,,,,,,,,,51.13835,71.386054,https://2gis.com/firm/70000001067452708
Code Da Vinci,лаундж-бар,Рестораны; Бары,"проспект Улы Дала, 39",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 13:00-02:00; Вт: 13:00-02:00; Ср: 13:00-02:00; Чт: 13:00-02:00; Пт: 13:00-02:00; Сб: 13:00-02:00; Вс: 13:00-02:00,+05:00,4.8,202,87758767612,,,,,,,,,https://instagram.com/codedavinci_,,,,,,,,,,,,https://wa.me/77758767612,,,,,,,,,,,,,,,51.098586,71.408527,https://2gis.com/firm/70000001089367850
SABO restaurant chef`s table,,Рестораны,"проспект Мангилик Ел, 61",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,5.0,3,87000330006,,,,,,,,,https://instagram.com/sabo.restaurant,,,,,,,,,,,,https://wa.me/77000330006,,,,,,,,,,,,,,,51.08395,71.420702,https://2gis.com/firm/70000001102510700
Tutun,лаундж-бар,Рестораны; Бары,"улица Шокана Уалиханова, 1",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-03:00,+05:00,4.5,28,87004958811,,,,,,,,,https://instagram.com/tutun_loungebar,,,,,,,,,,,,https://wa.me/77004958811,,,,,,,,,,,,,,,51.162842,71.440316,https://2gis.com/firm/70000001103407697
Fest 425 mangilik,лаундж-бар,Рестораны; Кафе; Бары; Пиццерии; Караоке-залы,"проспект Мангилик Ел, 20/2",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-04:00; Вт: 12:00-04:00; Ср: 12:00-04:00; Чт: 12:00-04:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-04:00,+05:00,4.9,819,87018804418,,,,,,http://fest-425.kamiqr.com/menu/at-place,,,https://instagram.com/fest.425.mangilik,,,,,,,,,,,,https://wa.me/77018804418,,,,,,,,,,,,,,,51.116547,71.435658,https://2gis.com/firm/70000001069489489
LaMaro,,Рестораны; Бары; Доставка еды,"улица Достык, 1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.7,764,87015409799,87029950688,,zakolya82@mail.ru,,,http://lamaro.kamiqr.com/menu/basic,,,https://instagram.com/lamaro.astana,,,,,,,,,,,,https://wa.me/77029950688,https://wa.me/77015409799,,,,,,,,,,,,,,51.129587,71.418728,https://2gis.com/firm/70000001075329477
Перчини,ресторан,Рестораны; Пиццерии; Доставка еды,"проспект Туран, 20",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.6,1208,87752915581,,,perchini.astana@mail.ru,,,http://perchini.ru,,,https://instagram.com/perchini_ast,,,,,,,,,,,,,,,,,,,,,,,,,,,51.141271,71.411334,https://2gis.com/firm/70000001028355740
Marso,лаундж-бар,Рестораны; Бары,"улица Сыганак, 17г",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:30-02:00; Вт: 12:30-02:00; Ср: 12:30-02:00; Чт: 12:30-02:00; Пт: 12:30-03:00; Сб: 13:30-03:00; Вс: 13:30-02:00,+05:00,4.8,66,87007557530,,,,,,,,,https://instagram.com/marso_loungebar,,,,,,,,,,,,https://wa.me/77007557530,,,,,,,,,,,,,,,51.130169,71.391725,https://2gis.com/firm/70000001096758495
Казбек,ресторан,Рестораны; Бары,"улица Алихан Бокейхан, 6",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+05:00,4.7,429,87013528686,,,kazbekpremium@gmail.com,,,http://kazbekpremiumchaikhana.2gis.biz,http://tiktok.com/@kazbek_premium,http://kazbekpremium.taplink.ws/,https://instagram.com/kazbek_premium,,,,,,,,,,,,https://wa.me/77013528686,,,,,,https://t.me/+77013528686,,,,,,,,,51.116301,71.439708,https://2gis.com/firm/70000001065738755
Tau,караоке-ресторан,Рестораны; Караоке-залы; Бары,"улица Достык, 18",24 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+05:00,4.3,552,87070880008,87750808088,,01zyz111@gmail.com,,,,,,https://instagram.com/tau_karaoke_restaurant,,,,,,,,,,,,https://wa.me/77070880008,,,,,,,,,,,,,,,51.124911,71.434528,https://2gis.com/firm/70000001057775721
КАРАОКЕ TENGOVKA,,Рестораны; Караоке-залы; Бары; Банкетные залы,"улица Мугалжар, 2/1а",,,Тельман ж/м,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-05:00; Вт: 10:00-05:00; Ср: 10:00-05:00; Чт: 10:00-05:00; Пт: 10:00-05:00; Сб: 10:00-05:00; Вс: 10:00-05:00,+05:00,5.0,2261,87750051121,,,tengovka@eco-group.kz,,,http://tengovka.kz/,,,https://instagram.com/tengovka_karaoke,,,,,,,,,,,,https://wa.me/77750051121,,,,,,,,,,,,,,,51.096886,71.493899,https://2gis.com/firm/70000001056012082
SB Karaoke Bar,,Рестораны; Караоке-залы; Бары,"улица Е-489, 7",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Вт: 17:00-03:00; Ср: 17:00-03:00; Чт: 17:00-03:00; Пт: 17:00-05:00; Сб: 17:00-05:00; Вс: 17:00-03:00,+05:00,4.9,265,87073234788,,,,,,,,,https://instagram.com/sb_karaoke_bar,,,,,,,,,,,,https://wa.me/77073234788,,,,,,,,,,,,,,,51.145041,71.37747,https://2gis.com/firm/70000001067109781
Салтанат Сарайы,,Рестораны; Банкетные залы; Конференц-залы; Кейтеринг,"Кабанбай батыр проспект, 3",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.8,223,87751040033 (отдел продаж: пн-вс 10:00-19:00),,,saltanatsaraiy@gmail.com,,,,,,https://instagram.com/saltanat.saraiy.dp,,,,,,,,,,,,https://wa.me/77751040033,,,,,,,,,,,,,,,51.149872,71.423376,https://2gis.com/firm/70000001038586700
Studio 38,караоке-клуб,Рестораны; Караоке-залы,"улица Айша биби, 38",6 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.8,180,87713456500,,,,,,,,,https://instagram.com/studio38.karaoke,,,,,,,,,,,,https://wa.me/77713456500,,,,,,,,,,,,,,,51.141659,71.393575,https://2gis.com/firm/70000001061211141
Night post,,Рестораны; Караоке-залы; Бары,"Кабанбай батыр проспект, 3",,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,,,,,,,,,,https://instagram.com/night.post_karaoke,,,,,,,,,,,,,,,,,,,,,,,,,,,51.150535,71.422959,https://2gis.com/firm/70000001104949784
Fog,кофе-бар,Рестораны; Бары,"улица Турар Рыскулов, 1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-02:00,+05:00,4.9,34,87712569135,,,,,,,,,https://instagram.com/fog_astana,,,,,,,,,,,,https://wa.me/77712569135,,,,,,https://t.me/+77712569135,,,,,,,,,51.087037,71.402923,https://2gis.com/firm/70000001102512071
Terrace,,Рестораны,"Кабанбай батыр проспект, 3",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-01:00,+05:00,4.6,202,87028961345,,,,,,,,,https://instagram.com/terrace.salt,,,,,,,,,,,,https://wa.me/77028961345,,,,,,,,,,,,,,,51.150185,71.423124,https://2gis.com/firm/70000001089305819
Keshyou,семейное кафе-ресторан,Рестораны; Доставка еды; Кафе,"улица Чингиз Айтматов, 40",,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,4.6,273,87002306065,,,,,,,,,https://instagram.com/keshyou_restaurant,,,,,,,,,,,,https://wa.me/77002306065,,,,,,,,,,,,,,,51.140897,71.365836,https://2gis.com/firm/70000001063830548
Wah-Wah,ресторан грузинской кухни,Рестораны,"проспект Женис, 5",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.9,638,87775004466,87076116101,,wahwahoffice@mail.ru,,,,,,https://instagram.com/wahwah.astana,,,,,,,,,,,,https://wa.me/77775004466,https://wa.me/77076116101,,,,,,,,,,,,,,51.161196,71.414706,https://2gis.com/firm/70000001082663349
Dala,семейный ресторан,Рестораны; Банкетные залы; Доставка еды; Кафе,"улица Жумекен Нажимеденов, 16Б",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.5,838,87756333902,,,,,,,,,https://instagram.com/dala.resto,,,,,,,,,,,,https://wa.me/77756333902,,,,,,,,,,,,,,,51.118083,71.477469,https://2gis.com/firm/70000001060023821
Aq Anyz,,Рестораны; Доставка еды; Кондитерские изделия; Кофейни,"улица Алихан Бокейхан, 10",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00 (служба доставки: пн-вс 12:00-23:00),+05:00,4.8,481,87752996688,,,,,,http://aq-anyz.kz,,,https://instagram.com/aq_anyz,,,,,,,,,,,,https://wa.me/77011867878,,,,,,,,,,,,,,,51.114143,71.439009,https://2gis.com/firm/70000001022034235
Garden Hall,,Рестораны; Банкетные залы; Караоке-залы; Бары,"улица Хусейн бен Талал, 25",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.3,16,87172790000,,,sales@wyndhamgardenastana.com,,,http://wyndhamgardenastana.com/hall/garden-hall/,,,https://instagram.com/wyndhamgardenastana,,,,,,https://facebook.com/wgastana,,,,,,https://wa.me/77710226063,,,,,,,,,,,,,,,51.082111,71.407466,https://2gis.com/firm/70000001043713201
Roastbeef,,Рестораны; Доставка еды,"Кабанбай батыр проспект, 15/1",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,4.7,402,87751029878,,,,,,,,,https://instagram.com/roastbeef_astana,,,,,,,,,,,,https://wa.me/77751029878,,,,,,,,,,,,,,,51.135465,71.413184,https://2gis.com/firm/70000001028159403
Гол+Пас,спорт-бар,Рестораны; Бары,"проспект Тауелсиздик, 23",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+05:00,4.8,316,87073334045,,,golpas@golpas.com,,,http://golpas.cafe,,,https://instagram.com/golpas_sportbars,,,,,,,,,,,,https://wa.me/77073334045,,,,,,,,,,,,,,,51.144385,71.460544,https://2gis.com/firm/70000001083540277
FLAGMAN FESTIVAL,лаундж-бар,Рестораны; Бары,"улица Достык, 4",,,,Нура район,Астана,,Астана,Казахстан,Пн: 14:00-03:00; Вт: 14:00-03:00; Ср: 14:00-03:00; Чт: 14:00-03:00; Пт: 14:00-04:00; Сб: 14:00-04:00; Вс: 14:00-03:00,+05:00,4.8,263,87008881099,87479007267,,flagmanhookah@gmail.com,,,,,,https://instagram.com/flagman_festival,,,,,,,,,,,,https://wa.me/77008881099,,,,,,https://t.me/+77008881099,,,,,,,,,51.127699,71.407487,https://2gis.com/firm/70000001090145447
CrepeCafe,семейное кафе,Рестораны; Доставка еды; Кафе,"улица Динмухамед Конаев, 12/1",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00 (служба доставки: пн-вс 10:00-22:00),+05:00,4.6,2166,87719494931,,,info@crepecafe.kz,,,http://crepecafe.kz,,,https://instagram.com/crepecafe_kz,,,,,,https://facebook.com/crepecafekz,,,,,,,,,,,,,,,,,,,,,51.129374,71.427923,https://2gis.com/firm/70000001025216760
Mandarin,ресторан,Рестораны; Доставка еды; Суши-бары; Бары,"улица Шамши Калдаяков, 3",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+05:00,4.8,810,87009990606,87757471263 (отдел маркетинга),87757471263 (отдел корпоративных заказов),mandarin_2023@inbox.ru,,,http://mandarinastana.taplink.ws,http://tiktok.com/@mandarin_astana,,https://instagram.com/mandarin.astana,,,,,,,,,,,,https://wa.me/77009990606,,,,,,https://t.me/+77009990606,,,,,,,,,51.118795,71.459251,https://2gis.com/firm/70000001068978315
XS,ресто-бар,Рестораны; Бары; Караоке-залы,"улица Жекебатыр, 47",,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Пн: 20:00-06:00; Вт: 20:00-06:00; Ср: 20:00-06:00; Чт: 20:00-06:00; Пт: 20:00-06:00; Сб: 20:00-06:00; Вс: 20:00-06:00,+05:00,4.6,98,87787908800,,,,,,,,,https://instagram.com/xs.concept,,,,,,,,,,,,https://wa.me/77787908800,,,,,,,,,,,,,,,51.143692,71.423378,https://2gis.com/firm/70000001097866508
Yakuza Sushi & Tom Yum,,Рестораны; Суши-бары; Доставка еды; Кафе; Бары,"улица Туркестан, 28/2",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-01:00,+05:00,4.9,196,87020065558 (служба доставки),87082053501 (бронь столов),,sushiwokyakuza@gmail.com,,,http://yakuza-sushi.kz,,,https://instagram.com/yakuza.astana,,,,,,,,,,,,https://wa.me/77082053501,,,,,,,,,,,,,,,51.100576,71.425283,https://2gis.com/firm/70000001103335431
Инжу,,Рестораны; Банкетные залы,"улица Ахмета Жубанова, 26",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.7,126,87755931196,,,,,,,,,https://instagram.com/inju_hall.ast,,,,,,,,,,,,https://wa.me/77755931196,,,,,,,,,,,,,,,51.170893,71.467264,https://2gis.com/firm/70000001087855436
Asatu,ресторан,Рестораны,"проспект Сарыарка, 22",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+05:00,4.7,504,87009991717,87757471263 (отдел для коропоративных заказов),,,,,,,,https://instagram.com/asatu_astana,,,,,,,,,,,,https://wa.me/77009991717,,,,,,,,,,,,,,,51.166765,71.409225,https://2gis.com/firm/70000001098578641
TomYumBar,ресторан,Рестораны; Суши-бары; Доставка еды,"проспект Туран, 20",,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-23:00,+05:00,4.8,1031,87070012020,,,,,,http://almaty.tomyumbar.ru,,,https://instagram.com/tomyumbar.kazakhstan,,,,,,,,,,,,https://wa.me/77070012020,,,,,,,,,,,,,,,51.141702,71.411075,https://2gis.com/firm/70000001088916497
ResPUBlika,,Рестораны; Бары,"улица Алматы, 11",2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 17:00-04:00; Вт: 17:00-04:00; Ср: 17:00-04:00; Чт: 17:00-04:00; Пт: 17:00-04:00; Сб: 17:00-04:00; Вс: 17:00-04:00,+05:00,4.8,300,87779990044,,,,,,http://tiktok.com/@respublika09,,,https://instagram.com/respublika.ast,,,,,,https://facebook.com/61573054794982,,,,,,https://wa.me/77779990044,,,,,,,,,,,,,,,51.116358,71.42827,https://2gis.com/firm/70000001030459588
Piro,ресторан,Рестораны,"улица Сарайшык, 34/7",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+05:00,4.7,260,87010707376,,,,,,,,,https://instagram.com/piro.rest,,,,,,,,,,,,https://wa.me/77010707376,,,,,,,,,,,,,,,51.132926,71.431138,https://2gis.com/firm/70000001091376936
Okadzaki.kz,кафе,Рестораны; Доставка еды; Суши-бары; Кафе; Пиццерии; Быстрое питание,"проспект Ракымжан Кошкарбаев, 48",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,2395,87055561990,87773333333 (служба доставки: круглосуточно),,okadzaki.kz@mail.ru,,,http://okadzaki.kz,,,https://instagram.com/okadzaki.kz,,,,,,,,,,,,https://wa.me/77773333333,,,,,,https://t.me/+77773333333,,,,,,,,,51.127931,71.494873,https://2gis.com/firm/70000001062280019
Pinta,ресторан,Рестораны; Бары; Доставка еды,"улица Акмешит, 9/1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-02:00,+05:00,4.5,1625,87771004616,,,,,,http://Pinta.kz,,,https://instagram.com/pinta_astana,,,,,,,,,,,,,,,,,,,,,,,,,,,51.114167,71.42233,https://2gis.com/firm/70000001034241483
Black Duck,лаундж-бар,Рестораны; Бары; Караоке-залы; Доставка еды,"проспект Туран, 37/9",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-02:00,+05:00,4.8,792,87783220852,,,,,,,,,https://instagram.com/blackduck_astana,,,,,,,,,,,,https://wa.me/77783220852,,,,,,,,,,,,,,,51.130765,71.401918,https://2gis.com/firm/70000001059834146
Okadzaki.kz,кафе,Рестораны; Доставка еды; Суши-бары; Кафе; Пиццерии; Быстрое питание,"улица Кенжебек Кумисбеков, 2",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,2524,87004349183,87773333333 (служба доставки: круглосуточно),,okadzaki.kz@mail.ru,,,http://okadzaki.kz,,,https://instagram.com/okadzaki.kz,,,,,,,,,,,,https://wa.me/77004349183,,,,,,https://t.me/+77773333333,,,,,,,,,51.16257,71.401091,https://2gis.com/firm/70000001063838349
Line Brew,рестораны,Рестораны,"улица Кенесары, 20",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.7,710,87172321026,87172321017,87011551322 (служба бронирования),,,,http://line-group.kz/line_brew,,,https://instagram.com/linebrew_restaurants,,,,,,,,,,,,https://wa.me/77011551322,,,,,,,,,,,,,,,51.16362,71.416106,https://2gis.com/firm/70000001018069671
Okadzaki.kz,кафе,Рестораны; Доставка еды; Суши-бары; Кафе; Пиццерии; Быстрое питание,"проспект Абая, 59",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,2938,87084251745 (кафе),87172251745 (кафе),,okadzaki.kz@mail.ru,,,http://okadzaki.kz,,,https://instagram.com/okadzaki.kz,,,,,,,,,,,,https://wa.me/77084251745,,,,,,https://t.me/+77773333333,,,,,,,,,51.169727,71.436222,https://2gis.com/firm/70000001041803543
Sandyq,ресторан национальной кухни,Рестораны,"улица Сарайшык, 34/3",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.8,1506,87779191122,87750073282,,,,,http://sandyqgroup.com,,,https://instagram.com/sandyq_restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,51.132612,71.433388,https://2gis.com/firm/70000001086860585
