Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,Широта,Долгота,2GIS URL
OyBoy Cyber Club,компьютерный и автосимуляторный клуб,Клубы видеоигр; Компьютерные клубы,"улица Ахмет Байтурсынулы, 43/4",2 этаж,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,386,87056223005,,,,,,https://instagram.com/oyboy.cyberclub,,https://wa.me/77056223005,,,,,51.118808,71.508303,https://2gis.com/firm/70000001075089440
Bombardir,,Клубы видеоигр,"Аль-Фараби проспект, 15",11 офис,,,Есиль район,Астана,,Астана,Казахстан,Пн: 13:00-04:00; Вт: 13:00-04:00; Ср: 13:00-04:00; Чт: 13:00-04:00; Пт: 13:00-04:00; Сб: 13:00-04:00; Вс: 13:00-04:00 (до последнего клиента: пн-вс),+05:00,4.9,100,87058051368,87766088080,,,,,https://instagram.com/bombardir_ps5_astana,,https://wa.me/77058685999,,,,,51.095641,71.449088,https://2gis.com/firm/70000001065643371
Base for Race,клуб гоночных симуляторов и видеоигр,Клубы видеоигр; Компьютерные клубы,"проспект Туран, 45/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 14:00-02:00; Вт: 14:00-02:00; Ср: 14:00-02:00; Чт: 14:00-02:00; Пт: 14:00-03:00; Сб: 14:00-03:00; Вс: 14:00-02:00,+05:00,4.8,90,87760221233,,,,,,https://instagram.com/base_for_race_ast,,https://wa.me/77760221233,,,,,51.122415,71.399875,https://2gis.com/firm/70000001090547753
Super Liga,,Клубы видеоигр,"проспект Бауыржан Момышулы, 2/6",цокольный этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 13:00-06:00; Вт: 13:00-06:00; Ср: 13:00-06:00; Чт: 13:00-06:00; Пт: 13:00-06:00; Сб: 13:00-06:00; Вс: 13:00-06:00,+05:00,4.8,80,87055337771,,,,,,https://instagram.com/ps5_superliga,,https://wa.me/77055337771,,,,,51.134346,71.462115,https://2gis.com/firm/70000001061579513
6.16,игровой клуб,Клубы видеоигр,"проспект Туран, 57/3",,,,Нура район,Астана,,Астана,Казахстан,Пн: 16:00-02:00; Вт: 16:00-02:00; Ср: 16:00-02:00; Чт: 16:00-02:00; Пт: 16:00-03:00; Сб: 16:00-03:00; Вс: 16:00-03:00,+05:00,4.7,75,87763100616,,,,,,https://instagram.com/ps_6.16,,https://wa.me/77763100616,,,,,51.105523,71.395916,https://2gis.com/firm/70000001072104678
Taktika,,Клубы видеоигр,"улица Кенен Азербаев, 47",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,137,87077774259 (служба бронирования),87077774253,,,http://taktikaps5.com,http://jivo.chat/uPqAI4O51e,https://instagram.com/taktika_ps5,https://vk.com/taktika_ps5,https://wa.me/77077774259,,,,https://t.me/taktika_ps5,51.128884,71.504276,https://2gis.com/firm/70000001055311930
Eleven,игровой клуб,Клубы видеоигр,"улица Гейдара Алиева, 1",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 14:00-05:00; Вт: 14:00-05:00; Ср: 14:00-05:00; Чт: 14:00-05:00; Пт: 14:00-05:00; Сб: 12:00-05:00; Вс: 12:00-05:00,+05:00,4.7,90,87755198162,87078765262,87715111441,,,,https://instagram.com/eleven_ps5,,https://wa.me/77755198162,https://wa.me/77078765262,https://wa.me/77715111441,,,51.100726,71.411852,https://2gis.com/firm/70000001052443517
TeamRacing club,гоночный симулятор,Клубы видеоигр; Компьютерные клубы,"проспект Абылай хана, 27/4",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-04:00; Вт: 12:00-04:00; Ср: 12:00-04:00; Чт: 12:00-04:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-04:00 (по предварительной записи),+05:00,4.6,117,,,,,http://tiktok.com/team_racing_ast,,https://instagram.com/tracing_ast,,https://wa.me/77066788708,,,,https://t.me/+77066788708,51.158072,71.486578,https://2gis.com/firm/70000001081226367
Taktika,,Клубы видеоигр,"улица Сыганак, 16",,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,136,87077774248 (отдел бронирования ),87077774253,,,http://taktikaps5.com,http://jivo.chat/uPqAI4O51e,https://instagram.com/taktika_ps5,https://vk.com/taktika_ps5,https://wa.me/77077774248,,,,https://t.me/taktika_ps5,51.129378,71.378634,https://2gis.com/firm/70000001081852695
Brothers,компьютерный клуб,Клубы видеоигр; Компьютерные клубы,"проспект Улы Дала, 65",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,537,87759450723 (отдел бронирования),,,,,,https://instagram.com/brothers_astana,,https://wa.me/77759450723,,,,,51.094322,71.442558,https://2gis.com/firm/70000001037713195
Status Cyber Arena,компьютерный клуб,Клубы видеоигр; Компьютерные клубы; Копировальные услуги,"улица Каныш Сатпаев, 22",3 этаж,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,476,87769399399 (Администратор),87024570899 (круглосуточно),,,http://taplink.cc/status_cybersport,,https://instagram.com/status_cyber_arena,,https://wa.me/77769399399,https://wa.me/77024570899,,,,51.139325,71.477568,https://2gis.com/firm/70000001063163722
In-Game Leader,,Клубы видеоигр; Компьютерные клубы,"улица Е 900, 2",НП: 14,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.4,174,87000505045,,,,,,https://instagram.com/igl.cyberspace,,https://wa.me/77000505045,,,,,51.132697,71.393407,https://2gis.com/firm/70000001076576058
Colizeum,,Клубы видеоигр; Компьютерные клубы,"проспект Сарыарка, 11",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,372,87479889830,,,,http://colizeum.ru,,https://instagram.com/colizeum_astana,https://vk.com/colizeum_astana,https://wa.me/77479889830,,,,,51.163611,71.408616,https://2gis.com/firm/70000001061806386
OINA,игровой клуб,Клубы видеоигр,"Керей, Жанибек хандар улица, 15",1 этаж; НП: 11,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+05:00,4.3,41,87053157465,,,,http://oina-psclub.2gis.biz/,,https://instagram.com/oina_psclub,,,,,,,51.113346,71.437065,https://2gis.com/firm/70000001063237118
B.Boogzzz,игровой клуб,Клубы видеоигр,"проспект Республики, 10",2 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 14:00-08:00; Вт: 14:00-08:00; Ср: 14:00-08:00; Чт: 14:00-08:00; Пт: 14:00-08:00; Сб: 14:00-08:00; Вс: 14:00-08:00,+05:00,4.3,80,87020006985,,,,,,https://instagram.com/bboogzzz,,https://wa.me/77020006985,,,,,51.160526,71.429366,https://2gis.com/firm/70000001018063733
Game Club 2+1,игровой клуб,Клубы видеоигр,"проспект Ракымжан Кошкарбаев, 34",2 этаж,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 14:00-04:00; Вт: 14:00-04:00; Ср: 14:00-04:00; Чт: 14:00-04:00; Пт: 14:00-04:00; Сб: 14:00-04:00; Вс: 14:00-04:00,+05:00,4.8,117,87761657249,,,,,,https://instagram.com/2plus1_ps_club,,https://wa.me/77761657249,,,,,51.124994,71.484215,https://2gis.com/firm/70000001035235869
New York game city,,Клубы видеоигр,"улица Жанибека тархана, 17",цокольный этаж,,Целинный м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+05:00,4.7,49,87473962575,,,,,,https://instagram.com/new_york_game_city,,https://wa.me/77473962575,,,,,51.159093,71.457428,https://2gis.com/firm/70000001075941481
Dazn,игровой клуб,Клубы видеоигр,"Кабанбай батыр проспект, 40",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-04:00; Вт: 12:00-04:00; Ср: 12:00-04:00; Чт: 12:00-04:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-04:00,+05:00,4.7,107,87758880244,,,,,,https://instagram.com/ps5.dazn_astana,,https://wa.me/77758880244,,,,,51.121372,71.414428,https://2gis.com/firm/70000001062340611
Ronin,компьютерный клуб,Клубы видеоигр; Компьютерные клубы,"улица Култегин, 10",,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,200,87473008161,,,,,,https://instagram.com/ronin_cyberclub,,https://wa.me/77473008161,,,,,51.133009,71.374652,https://2gis.com/firm/70000001094808964
Кубок,игровой клуб,Клубы видеоигр,"улица Алексея Петрова, 31",,,5 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-06:00; Вт: 11:00-06:00; Ср: 11:00-06:00; Чт: 11:00-06:00; Пт: 11:00-06:00; Сб: 11:00-06:00; Вс: 11:00-06:00,+05:00,4.9,59,87080509595,,,,,,https://instagram.com/ps.kubok,,https://wa.me/77080509595,,,,,51.151658,71.4789,https://2gis.com/firm/70000001080783526
Nxt Lvl,,Клубы видеоигр; Компьютерные клубы; Прокат игровых приставок,"улица Туркестан, 34/1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,48,87756650099,,,,,,https://instagram.com/nxt_lvl.ast,,https://wa.me/77756650099,,,,,51.094913,71.421715,https://2gis.com/firm/70000001102742723
Playburg,,Клубы видеоигр,"проспект Бауыржан Момышулы, 2/5",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,211,87005558940,,,,,,https://instagram.com/playburg_kz,,https://wa.me/77005558940,,,,,51.135836,71.465589,https://2gis.com/firm/70000001063424613
F1,,Клубы видеоигр; Компьютерные клубы,"улица Казыбек би, 9/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.4,33,87775853353,,,,,,,,https://wa.me/77775853353,,,,,51.117648,71.389835,https://2gis.com/firm/70000001098967572
Boss LeveL,,Клубы видеоигр; Прокат игровых приставок,"Керей, Жанибек хандар улица, 14/2 блок D",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 13:00-05:00; Вт: 13:00-05:00; Ср: 13:00-05:00; Чт: 13:00-05:00; Пт: 13:00-05:00; Сб: 13:00-05:00; Вс: 13:00-05:00,+05:00,5.0,50,87070630101,,,,http://tiktok.com/@bosslevel_gaming_club,,https://instagram.com/boss_level_gaming_club,,https://wa.me/77070630101,,,,,51.11421,71.41901,https://2gis.com/firm/70000001100097224
Eleven Cyber Zone,,Клубы видеоигр; Компьютерные клубы,"улица Санжара Асфендиярова, 8",,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,256,87761110056,,,,,,https://instagram.com/eleven.cyberzone,,https://wa.me/77761110056,,,,,51.134024,71.380894,https://2gis.com/firm/70000001069400530
Portal,,Клубы видеоигр,"проспект Сарыарка, 42",цокольный этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-05:00; Вт: 10:00-05:00; Ср: 10:00-05:00; Чт: 10:00-05:00; Пт: 10:00-05:00; Сб: 10:00-05:00; Вс: 10:00-05:00 (до последнего клиента),+05:00,4.9,69,87088136901,,,,,,https://instagram.com/ps.5_portal,,https://wa.me/77088136901,,,,,51.17505,71.407062,https://2gis.com/firm/70000001080008973
Sniper X,,Клубы видеоигр; Компьютерные клубы,"проспект Бауыржан Момышулы, 6/1",цокольный этаж,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,144,87476602423,,,,,,,,https://wa.me/77476602423,,,,,51.137893,71.47337,https://2gis.com/firm/70000001092985385
GG play,,Клубы видеоигр; Компьютерные клубы,"проспект Туран, 55к",,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.4,35,87086475251,,,romanutenbaev@gmail.com,,,https://instagram.com/ggplay.kz,,https://wa.me/77086475251,,,,,51.114793,71.394444,https://2gis.com/firm/70000001102751358
Shark,,Клубы видеоигр,"улица Желтоксан, 2т",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,164,87771407747,87776667978,,,http://tiktok.com/@shark_astana_ps,,https://instagram.com/shark_astana_ps5,,https://wa.me/77776667978,,,,,51.16175,71.420131,https://2gis.com/firm/70000001091411415
Corner,,Клубы видеоигр,"улица Кажымукан, 18/2",1 этаж,,4 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 13:00-05:00; Вт: 13:00-05:00; Ср: 13:00-05:00; Чт: 13:00-05:00; Пт: 13:00-05:00; Сб: 13:00-05:00; Вс: 13:00-05:00,+05:00,4.9,150,87052964533,,,,,,https://instagram.com/corner_ps5,,,,,,,51.154715,71.472887,https://2gis.com/firm/70000001090066453
League,,Клубы видеоигр,"улица Толе би, 53",,,,Нура район,Астана,,Астана,Казахстан,Пн: 16:00-02:00; Вт: 16:00-02:00; Ср: 16:00-02:00; Чт: 16:00-02:00; Пт: 16:00-02:00; Сб: 16:00-03:00; Вс: 16:00-03:00,+05:00,4.8,87,87712166680,,,,,,https://instagram.com/ps_league_official,,https://wa.me/77712166680,,,,,51.125106,71.3931,https://2gis.com/firm/70000001074565504
Zion,игровой клуб,Клубы видеоигр,"Аль-Фараби проспект, 34",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-04:00; Вт: 12:00-04:00; Ср: 12:00-04:00; Чт: 12:00-04:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-04:00,+05:00,5.0,147,87785070129,,,,,,https://instagram.com/zion_astana,,https://wa.me/77785070129,,,,,51.088928,71.449483,https://2gis.com/firm/70000001054275694
Qymyz Playhouse,,Клубы видеоигр; Кымызхана,"улица Александр Бараев, 25",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 16:00-04:00; Вт: 16:00-04:00; Ср: 16:00-04:00; Чт: 16:00-04:00; Пт: 16:00-04:00; Сб: 16:00-04:00; Вс: 16:00-04:00,+05:00,4.9,44,87758630061,,,,,,https://instagram.com/qymyz.play.house,,https://wa.me/77758630061,,,,,51.160841,71.438809,https://2gis.com/firm/70000001101163014
Cyber Eleven,,Клубы видеоигр; Компьютерные клубы,"улица Алихан Бокейхан, 11",1 этаж,,Заречное ж/м,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.4,116,87777705505,,,,,,https://instagram.com/cyber.eleven,,https://wa.me/77777705505,,,,,51.105815,71.43505,https://2gis.com/firm/70000001041188790
Joystick,игровой клуб,Клубы видеоигр,"проспект Бауыржан Момышулы, 6/1",цокольный этаж,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-05:00; Вт: 12:00-05:00; Ср: 12:00-05:00; Чт: 12:00-05:00; Пт: 12:00-05:00; Сб: 12:00-05:00; Вс: 12:00-05:00,+05:00,4.6,52,87768889868,,,,,,https://instagram.com/joystickps5,,https://wa.me/77768889868,,,,,51.137823,71.47312,https://2gis.com/firm/70000001023907368
Dc prime zone,,Клубы видеоигр,"проспект Мангилик Ел, 59",5 офис,,,Есиль район,Астана,,Астана,Казахстан,Пн: 16:00-04:00; Вт: 16:00-04:00; Ср: 16:00-04:00; Чт: 16:00-04:00; Пт: 16:00-04:00; Сб: 15:00-04:00; Вс: 15:00-04:00,+05:00,4.5,41,87072015535,,,,,,https://instagram.com/dc_primezone,,https://wa.me/77072015535,,,,,51.085681,71.422278,https://2gis.com/firm/70000001083319543
Gold Game,игровой клуб,Клубы видеоигр,"улица Кайым Мухамедханов, 17/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-07:00; Вт: 12:00-07:00; Ср: 12:00-07:00; Чт: 12:00-07:00; Пт: 12:00-07:00; Сб: 12:00-07:00; Вс: 12:00-07:00,+05:00,4.8,170,87479707270,,,,,,https://instagram.com/goldgame_01,,https://wa.me/77479707270,,,,,51.141612,71.386439,https://2gis.com/firm/70000001041334036
Фанат,игровой клуб,Клубы видеоигр,"улица Сакена Сейфуллина, 5",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,303,87754683718,,,,,,https://instagram.com/ps5astana_fanat,,https://wa.me/77754683718,,,,,51.168979,71.401764,https://2gis.com/firm/70000001021553356
OINA,игровой клуб,Клубы видеоигр,"микрорайон Самал, 8",цокольный этаж,,Самал м-н,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+05:00,4.6,115,87051144590,,,,http://oina-psclub.2gis.biz/,,https://instagram.com/oina_psclub,,https://wa.me/77051144590,,,,,51.156355,71.427961,https://2gis.com/firm/70000001048358725
Qasqir Rooms,,Клубы видеоигр; Компьютерные клубы,"улица Кенесары, 9",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,260,87000883999,87760883999,,,http://taplink.cc/qasqir_rooms,,https://instagram.com/qasqir_rooms,,https://wa.me/77000883999,,,,,51.163078,71.405689,https://2gis.com/firm/70000001061502564
Good game,игровой клуб,Клубы видеоигр,"улица Аманжол Болекпаев, 22",цокольный этаж,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 11:00-02:00; Вт: 11:00-02:00; Ср: 11:00-02:00; Чт: 11:00-02:00; Пт: 12:00-05:00; Сб: 12:00-05:00; Вс: 12:00-05:00,+05:00,4.9,57,87750405401,,,,,,https://instagram.com/good_game_astana_ps5,,https://wa.me/77750405401,,,,,51.120815,71.510368,https://2gis.com/firm/70000001093439475
R9,игровой клуб,Клубы видеоигр,"проспект Шакарим Кудайбердыулы, 25/1",цокольный этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 15:00-02:00; Вт: 16:00-02:00; Ср: 15:00-02:00; Чт: 16:00-02:00; Пт: 15:00-03:00; Сб: 15:00-03:00; Вс: 15:00-02:00,+05:00,4.9,77,87788872331,,,,,,https://instagram.com/ps5_r9_gameclub,,https://wa.me/77788872331,,,,,51.155492,71.505399,https://2gis.com/firm/70000001057774040
Games Start,,Клубы видеоигр; Компьютерные клубы,"проспект Ракымжан Кошкарбаев, 29",цокольный этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,169,,,,,,,https://instagram.com/games_start_club,,,,,,,51.127861,71.490969,https://2gis.com/firm/70000001067591681
MN Infinity,,Клубы видеоигр; Компьютерные клубы,"улица Кенен Азербаев, 4",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-06:00; Вт: 10:00-06:00; Ср: 10:00-06:00; Чт: 10:00-06:00; Пт: 10:00-06:00; Сб: 10:00-06:00; Вс: 10:00-06:00,+05:00,5.0,12,87715294548,,,,,,https://instagram.com/mn_infinity01,,https://wa.me/77715294548,,,,,51.128142,71.504192,https://2gis.com/firm/70000001104186637
Doма,,Клубы видеоигр; Компьютерные клубы,"улица Умай ана, 15",цокольный этаж; НП: 5,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,74,87772227750,,,,,,https://instagram.com/doma_cyber_lounge,,https://wa.me/77772227750,,,,,51.147065,71.390441,https://2gis.com/firm/70000001075797387
Игровой клуб,,Клубы видеоигр,"улица Сарайшык, 5/1",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 17:00-06:00; Вт: 17:00-06:00; Ср: 17:00-06:00; Чт: 17:00-06:00; Пт: 17:00-06:00; Сб: 15:00-06:00; Вс: 15:00-06:00,+05:00,4.6,64,87472667757,,,,,,,,https://wa.me/77472667757,,,,,51.137072,71.426561,https://2gis.com/firm/70000001031790164
Nomad,компьютерный клуб,Клубы видеоигр; Компьютерные клубы,"улица Чингиз Айтматов, 53п",,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,216,87070330770,,,,,,https://instagram.com/nomad_esports_astana,,https://wa.me/77070330770,,,,,51.1498,71.366374,https://2gis.com/firm/70000001069417980
Pipes,,Клубы видеоигр; Компьютерные клубы,"улица Шамши Калдаяков, 3",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 14:00-03:00; Вт: 14:00-03:00; Ср: 14:00-03:00; Чт: 14:00-03:00; Пт: 14:00-03:00; Сб: 14:00-03:00; Вс: 14:00-03:00,+05:00,4.4,44,87020518148,,,,http://www.tiktok.com/@pipes_cyber_loundg,,https://instagram.com/pipes_cyber_lounge_astana,,https://wa.me/77020518148,,,,,51.119022,71.457796,https://2gis.com/firm/70000001082063724
One Play,,Клубы видеоигр,"проспект Магжана Жумабаева, 16/1",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,60,87079310002,87022666522,,,http://oneplay.2gis.biz,,https://instagram.com/one_play_playstation,,https://wa.me/77079310002,https://wa.me/77022666522,,,,51.151877,71.482504,https://2gis.com/firm/70000001051566047
PlayPass,,Клубы видеоигр,"улица Ахмет Байтурсынулы, 39/3",цокольный этаж,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 12:00-04:00; Вт: 12:00-04:00; Ср: 12:00-04:00; Чт: 12:00-04:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-04:00,+05:00,5.0,33,87785759405,,,,,,https://instagram.com/playpass_astana_ps5,,https://wa.me/77785759405,,,,https://t.me/+77785759405,51.119861,71.501374,https://2gis.com/firm/70000001101466832
Taktika,,Клубы видеоигр,"улица Шаймерден Косшыгулулы, 25",въезд с ул. Шабал Бейсековой,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,73,87761907140 (отдел бронирования),87077774253,,,http://taktikaps5.com,http://jivo.chat/uPqAI4O51e,https://instagram.com/taktika_ps5,https://vk.com/taktika_ps5,https://wa.me/77761907140,,,,https://t.me/taktika_ps5,51.171643,71.377893,https://2gis.com/firm/70000001060585292
Ast Game,клуб видеоигр,Клубы видеоигр,"микрорайон Самал, 9",цокольный этаж,,Самал м-н,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-05:00; Вт: 12:00-05:00; Ср: 12:00-05:00; Чт: 12:00-05:00; Пт: 12:00-05:00; Сб: 12:00-05:00; Вс: 12:00-05:00,+05:00,4.9,168,87476030279,87784447788,,xwz_razor@mail.ru,,,https://instagram.com/ast_gameps5_samal,,https://wa.me/77784447788,,,,,51.156189,71.427901,https://2gis.com/firm/70000001048038159
tut,игровой клуб,Клубы видеоигр,"улица Сауран, 20",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 13:00-04:00; Вт: 13:00-04:00; Ср: 13:00-04:00; Чт: 13:00-04:00; Пт: 13:00-04:00; Сб: 13:00-04:00; Вс: 13:00-04:00 (до последнего гостя),+05:00,5.0,6,87076706571,,,,,,,,https://wa.me/77076706571,,,,,51.111921,71.416987,https://2gis.com/firm/70000001103713633
Striker,,Клубы видеоигр,"Кабанбай батыр проспект, 40",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,39,87757084402,87757207474,,,,,,,,,,,,51.122009,71.414879,https://2gis.com/firm/70000001100242543
