Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,Широта,Долгота,2GIS URL
НикОль,,Ногтевые студии; Парикмахерские; Эпиляция; Массажист,"улица Жумабека Ташенова, 9/3",1 этаж,,Жастар м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,4.8,133,87011984705,87026449799 (мастер маникюра),87172997500,,,,,,,,,,,,,,,,,,,https://wa.me/77011984705,https://wa.me/77026449799,,,,,,,,,,,,,,51.153304,71.440568,https://2gis.com/firm/70000001022032407
Хамелеон,салон красоты,Ногтевые студии; Парикмахерские; Эпиляция,"улица Александра Пушкина, 1",1 этаж,,Целинный м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.7,97,87775940932,87011213424,,,,,,,,https://instagram.com/hameleon_beauty,,,,,,,,,,,,https://wa.me/77011213424,https://wa.me/77775940932,,viber://chat/?number=77077372114,,,https://t.me/+77775940932,,,,,,,,,51.155917,71.454329,https://2gis.com/firm/70000001035403873
Alinas.beautysalon,салон красоты,Ногтевые студии; Визажисты; Оформление бровей и ресниц; Перманентный макияж; Парикмахерские; Косметолог; Массажист; Обучение мастеров для салонов красоты; Эпиляция,"улица Куйши Дина, 12",,,3 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,5.0,3,87079974400,,,,,,,,,https://instagram.com/alinas.beautysalon,,,,,,,,,,,,https://wa.me/77079974400,,,,,,,,,,,,,,,51.145884,71.471051,https://2gis.com/firm/70000001102972083
Arya,салон красоты,Ногтевые студии; Оформление бровей и ресниц; Обучение мастеров для салонов красоты; Визажисты; Эпиляция,"Кабанбай батыр проспект, 46Б",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.6,235,87012560001,87007220008,,,,,,,,https://instagram.com/arya_astana,,,,,,,,,,,,https://wa.me/77007220008,,,,,,,,,,,,,,,51.11512,71.412653,https://2gis.com/firm/70000001084535435
Studio 21,салон красоты,Ногтевые студии; Парикмахерские; Визажисты; Оформление бровей и ресниц; Эпиляция; Перманентный макияж,"улица Динмухамед Конаев, 12/2",2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.8,108,87780860080,,,,,,,,,https://instagram.com/studio21kz,,,,,,,,,,,,https://wa.me/77780860080,,,,,,,,,,,,,,,51.129801,71.425972,https://2gis.com/firm/70000001020414311
A.Aсем,салон красоты,Ногтевые студии; Парикмахерские; Эпиляция; Оформление бровей и ресниц; Перманентный макияж; Визажисты; Услуги пирсинга,"улица Отырар, 7",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.7,76,"87784744185 (мастер маникюра, педикюра и шугаринга)",87776498481 (парикмахер универсал),87475121198 (визажист),,,,,,,https://instagram.com/a.asem_salon,,,,,,,,,,,,https://wa.me/77074162155,https://wa.me/77776498481,,,,,https://t.me/777-649-84-81,https://t.me/747-512-11-98,https://t.me/701-839-13-99,,,,,,,51.168438,71.434312,https://2gis.com/firm/70000001018507430
Babor by Verona,,Ногтевые студии; Косметолог; Массажист; Визажисты,"улица Сарайшык, 8",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,4.3,41,87479902233,,,,,,http://baborbyverona.kz,,,https://instagram.com/babor_by_verona,,,,,,,,,,,,https://wa.me/77479902233,,,,,,,,,,,,,,,51.135044,71.421042,https://2gis.com/firm/70000001081146807
Beauty Family,салон красоты,Ногтевые студии; Эпиляция; Оформление бровей и ресниц; Массажист; Студии загара; Парикмахерские,"улица Степана Кубрина, 20/1",НП: 26,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,44,87055595959,,,,,,http://www.tiktok.com/@beautyfamily_astana,,,https://instagram.com/beauty_family.astana,,,,,,,,,,,,https://wa.me/77055595959,,,,,,,,,,,,,,,51.170249,71.403212,https://2gis.com/firm/70000001101218217
Nogotok Art,,Ногтевые студии,"проспект Магжана Жумабаева, 16/1",цокольный этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.7,131,87053564329,,,,,,http://dikidi.ru/575805,,,https://instagram.com/nogotok.art,,,,,,,,,,,,https://wa.me/77053564329,,,,,,,,,,,,,,,51.152032,71.482589,https://2gis.com/firm/70000001083911498
Студия красоты Алишера Ешенкул,,Ногтевые студии; Парикмахерские; Визажисты; Косметолог; Оформление бровей и ресниц; Эпиляция; Обучение мастеров для салонов красоты; Перманентный макияж,"проспект Мангилик Ел, 41/3",1-2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.6,378,87051505566,,,,,,,,,https://instagram.com/salon_alisher_eshenkul,,,,,,,,,,,,https://wa.me/77051505566,,,,,,,,,,,,,,,51.101747,71.42734,https://2gis.com/firm/70000001059083752
Свой Стиль,салон красоты,Ногтевые студии; Косметолог; Парикмахерские; Визажисты; Оформление бровей и ресниц; Эпиляция; Услуги пирсинга; Перманентный макияж,"улица Агыбай батыра, 3",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.3,50,87059805137,,,,,,,,,,,,,,,,,,,,,https://wa.me/77059805137,,,,,,,,,,,,,,,51.161801,71.425512,https://2gis.com/firm/70000001018114290
Shanti,,Ногтевые студии; Парикмахерские; Массажист; Визажисты; Эпиляция; Оформление бровей и ресниц,"проспект Туран, 34а",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,4.7,13,87783451322,,,,,,,,,https://instagram.com/shanti.astana,,,,,,,,,,,,https://wa.me/77783451322,,,,,,,,,,,,,,,51.121507,71.404071,https://2gis.com/firm/70000001103986796
El Latino Astana,студия красоты,Ногтевые студии; Парикмахерские; Визажисты; Эпиляция; Оформление бровей и ресниц; Косметолог,"проспект Богенбай батыра, 30",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,4.3,100,87018885393,87021333967,,,,,,,,https://instagram.com/el_latino_astana,,,,,,,,,,,,https://wa.me/77021333967,,,,,,,,,,,,,,,51.174685,71.405651,https://2gis.com/firm/70000001030204567
Sheberqol_kz,салон красоты,Ногтевые студии; Парикмахерские; Эпиляция; Визажисты,"Амангельды Иманова улица, 19",413F офис; 4 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (по предварительной записи),+05:00,4.9,278,87022498919,,,,,,http://tiktok.com/@sheberqol_kz,,,https://instagram.com/sheberqol_kz,,,,,,,,,,,,https://wa.me/77022498919,,,,,,,,,,,,,,,51.164603,71.441307,https://2gis.com/firm/70000001068851184
Жан,салон красоты,Ногтевые студии; Парикмахерские; Оформление бровей и ресниц; Эпиляция; Массажист; Косметолог,"улица Сакена Сейфуллина, 4/2",3 офис; 2 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.4,109,87074443642,87761319003,87753375587,,,,,,,,,,,,,,,,,,,https://wa.me/77022722071,https://wa.me/77074443642,https://wa.me/77761319003,,,,,,,,,,,,,51.168246,71.402039,https://2gis.com/firm/70000001019788671
Persona grate,салон красоты,Ногтевые студии; Парикмахерские,"улица Кенесары, 24",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,4.5,34,87017236025,87013479064,,,,,,,,,,,,,,,,,,,,https://wa.me/77013479064,,,,,,,,,,,,,,,51.164085,71.418413,https://2gis.com/firm/70000001019420680
Халида,салон красоты,Ногтевые студии; Парикмахерские; Подолог; Косметолог,"улица Алексея Петрова, 16/3",,,2а м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00 (по предварительной записи),+05:00,4.9,98,87781216575 (подолог),87024003021 (подолог),,,,,,,,https://instagram.com/halida.yeskendirova,,,,,,,,,,,,https://wa.me/77781216575,https://wa.me/77024003021,,,,,,,,,,,,,,51.14712,71.466142,https://2gis.com/firm/70000001018125328
Fati,салон красоты,Ногтевые студии; Парикмахерские; Оформление бровей и ресниц,"улица Анет баба, 10",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи),+05:00,4.9,50,87055531408,,,,,,,,,https://instagram.com/fati.astana,,,,,,,,,,,,https://wa.me/77055531408,,,,,,,,,,,,,,,51.137274,71.385595,https://2gis.com/firm/70000001100446385
Delight,салон красоты,Ногтевые студии; Парикмахерские; Оформление бровей и ресниц; Эпиляция; Косметолог,"улица Александр Бараев, 14",1 этаж,,Жастар м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.3,82,87172308989,87472250359 (администратор),87081257362 (кабинет бровиста и депиляции),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.158131,71.437708,https://2gis.com/firm/70000001018130749
ZereN,салон красоты,Ногтевые студии; Парикмахерские; Оформление бровей и ресниц; Эпиляция,"улица Кайрат Рыскулбеков, 29",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.7,217,87087106329,87718889997 (мужской мастер),,,,,,,,,,,,,,,,,,,,https://wa.me/77087106329,,,,,,,,,,,,,,,51.159658,71.500519,https://2gis.com/firm/70000001074744047
НиГл,центр подологии,Ногтевые студии; Подолог,"проспект Абая, 1",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,100,87774722323,,,,,,,,,https://instagram.com/podo_masura_astana,,,,,,,,,,,,https://wa.me/77774722323,,,,,,,,,,,,,,,51.165693,71.402502,https://2gis.com/firm/70000001046390101
Сен сұлу,салон красоты,Ногтевые студии; Парикмахерские; Визажисты; Оформление бровей и ресниц,"Амангельды Иманова улица, 41",2 этаж,,Целинный м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.3,94,87086969809,,,,,,,,,https://instagram.com/barberzhandos.kz,,,,,,,,,,,,https://wa.me/77086969809,,,,,,,,,,,,,,,51.161437,71.458061,https://2gis.com/firm/70000001052998115
Lux Nail,,Ногтевые студии,"Керей, Жанибек хандар улица, 12/1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.8,774,87028883965,,,,,,http://taplink.cc/lux_nail,,,,,,,,,,,,,,,https://wa.me/77028883965,,,,,,,,,,,,,,,51.114609,71.414678,https://2gis.com/firm/70000001030556516
Ridvan,салон красоты,Ногтевые студии; Парикмахерские; Эпиляция; Визажисты; Оформление бровей и ресниц; Перманентный макияж; Обучение мастеров для салонов красоты,"улица Азербайжана Мамбетова, 4",около салона Naomi,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,4.1,74,87757953010,,,,,,,,,https://instagram.com/ridvan_keratin_studio,,,,,,,,,,,,https://wa.me/77757953010,,,,,,https://t.me/+77757953010,,,,,,,,,51.159329,71.426285,https://2gis.com/firm/70000001062287877
Epil secret,,Ногтевые студии; Эпиляция; Оформление бровей и ресниц,"Кабанбай батыр проспект, 7/2",цокольный этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,5.0,226,87027893335,,,,,,,,,https://instagram.com/sugar_nastya_,,,,,,,,,,,,https://wa.me/77027893335,https://wa.me/77753184880,,,,,,,,,,,,,,51.143769,71.415641,https://2gis.com/firm/70000001064786648
Nissie Nails,,Ногтевые студии; Оформление бровей и ресниц; Визажисты,"улица Бейбитшилик, 43",214 офис; 2 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,224,87053206786,,,,,,http://n724798.alteg.io,,,https://instagram.com/nissie_nails,,,,,,,,,,,,https://wa.me/77053206786,,,,,,,,,,,,,,,51.179236,71.417457,https://2gis.com/firm/70000001060470935
Eco Line,салон красоты,Ногтевые студии; Парикмахерские,"улица Александр Бараев, 25",НП: 6,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.8,101,87785948859,,,,,,http://mst.link/eco_line,,,https://instagram.com/baraeva_salon,,,,,,,,,,,,https://wa.me/77785948859,,,,,,,,,,,,,,,51.1608,71.43839,https://2gis.com/firm/70000001055579208
Чунга Чанга,студия загара,Ногтевые студии; Студии загара; Массажист; Эпиляция; Оформление бровей и ресниц,"улица Куйши Дина, 29/1а",3 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,44,87016088631 (солярий),87082376558 (мастер маникюра),87765380777 (мастер по депиляции и оформлению бровей),,,,,,,https://instagram.com/chunga.changa.astana,,,,,,https://facebook.com/chunga.changa.astana,,,,,,https://wa.me/77016088631,,,,,,,,,,,,,,,51.150831,71.482926,https://2gis.com/firm/70000001019715318
Podo Aurum,,Ногтевые студии; Подолог; Обучение мастеров для салонов красоты; Оформление бровей и ресниц,"улица Сарайшык, 38",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.8,170,87002021088,,,,,,,,,https://instagram.com/podo_aurum,,,,,,,,,,,,https://wa.me/77002021088,,,,,,,,,,,,,,,51.132245,71.436965,https://2gis.com/firm/70000001057692340
Махаббат,салон красоты,Ногтевые студии; Парикмахерские; Косметолог; Массажист; Эпиляция; Оформление бровей и ресниц; Визажисты,"улица Кайым Мухамедханов, 21",4 корпус; НП: 1,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,137,87789802688,,,,,,,,,https://instagram.com/salon_mahabbat_astana,,,,,,,,,,,,https://wa.me/77789802688,,,,,,,,,,,,,,,51.141866,71.380825,https://2gis.com/firm/70000001092767035
Aigerim permanent,,Ногтевые студии; Перманентный макияж,"улица Ермек Серкебаев, 31",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,37,87079606006,,,,,,,,,https://instagram.com/aigerim.permanent_astana,,,,,,,,,,,,https://wa.me/77079606006,,,,,,,,,,,,,,,51.16646,71.378407,https://2gis.com/firm/70000001103346685
А-Студио,салон красоты,Ногтевые студии; Косметолог; Оформление бровей и ресниц; Парикмахерские; Эпиляция; Перманентный макияж,"улица Ыкылас Дукенулы, 11",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.2,54,87172318112,87172317212,87015206656,,,,,,,https://instagram.com/salon_a_studio_astana,,,,,,,,,,,,https://wa.me/77015206656,,,,,,,,,,,,,,,51.17917,71.419931,https://2gis.com/firm/70000001018131648
Place,студия красоты,Ногтевые студии; Парикмахерские; Оформление бровей и ресниц; Визажисты,"Кабанбай батыр проспект, 7",2 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,4.7,32,87015118118,,,,,,http://n777454.alteg.io/,,,https://instagram.com/bychkov_hair_industry,,,,,,,,,,,,https://wa.me/77015118118,,,,,,https://t.me/+77015118118,,,,,,,,,51.141851,71.417794,https://2gis.com/firm/70000001026863608
Кымбат Нурланова,салон красоты,Ногтевые студии; Оформление бровей и ресниц; Парикмахерские; Визажисты,"улица Адольфа Янушкевича, 1",,,Целинный м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.4,7,87759760030,,,,,,,,,https://instagram.com/kymbat_nurlanova_salon,,,,,,,,,,,,https://wa.me/77759760030,,,,,,,,,,,,,,,51.159801,71.461565,https://2gis.com/firm/70000001104202500
Маэстро,салон красоты,Ногтевые студии; Парикмахерские,"проспект Абылай хана, 51",,,Аль-Фараби м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.7,111,87753919975,,,,,,,,,https://instagram.com/maestro.beautysalon,,,,,,,,,,,,https://wa.me/77753919975,,,,,,,,,,,,,,,51.150506,71.498347,https://2gis.com/firm/70000001083812449
Estereum Beauty Space,,Ногтевые студии; Визажисты; Оформление бровей и ресниц; Парикмахерские,"проспект Туран, 39",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.8,25,87711318032,,,,,,,,,https://instagram.com/estereum_beauty_space,,,,,,,,,,,,https://wa.me/77711318032,,,,,,,,,,,,,,,51.129277,71.404025,https://2gis.com/firm/70000001098500524
Элана,салон красоты,Ногтевые студии; Парикмахерские,"улица Бейбитшилик, 60",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.5,64,87475352513 (мастер маникюра),87783420782 (мастер маникюра ),87016153509 (парикмахер),,,,,,,https://instagram.com/salonkrasoti_astana_,,,,,,,,,,,,https://wa.me/77054055540,https://wa.me/77475352513,https://wa.me/77716678909,,,,,,,,,,,,,51.186321,71.416212,https://2gis.com/firm/70000001019421559
Spa Time,,Ногтевые студии; SPA-процедуры; Парикмахерские; Косметолог; Массажист; Эпиляция; Визажисты,"проспект Сарыарка, 4",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.8,96,87017169694,87783689292,,,,,,,,https://instagram.com/spa_time_astana,,,,,,,,,,,,https://wa.me/77017169694,https://wa.me/77783689292,,,,,,,,,,,,,,51.159649,71.411803,https://2gis.com/firm/70000001028619073
Soldi,салон красоты,Ногтевые студии; Парикмахерские; Оформление бровей и ресниц; Эпиляция; Визажисты; Косметолог; Обучение мастеров для салонов красоты,"улица Санжара Асфендиярова, 2",,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи),+05:00,4.9,794,87754137232,,,soldi.astana@mail.com,,,,,,https://instagram.com/soldi_salon.astana,,,,,,,,,,,,https://wa.me/77754137232,,,,,,,,,,,,,,,51.131785,71.377759,https://2gis.com/firm/70000001080878406
Топ,салон красоты,Ногтевые студии; Парикмахерские; Оформление бровей и ресниц; Визажисты; Эпиляция; Обучение мастеров для салонов красоты; Косметолог; Массажист; Перманентный макияж,"Кабанбай батыр проспект, 43 блок B",2 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,4.8,516,87072220824,,,,,,,,,https://instagram.com/topsalonast,,,,,,,,,,,,https://wa.me/77072220824,,,,,,,,,,,,,,,51.112636,71.405192,https://2gis.com/firm/70000001066008560
Saad,салон красоты,Ногтевые студии; Парикмахерские; Оформление бровей и ресниц; Визажисты; Эпиляция; Косметолог; Перманентный макияж,"улица Шаймерден Косшыгулулы, 22/2",цокольный этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,326,87071452802,,,,,,,,,https://instagram.com/salon_krasoty_saad_,,,,,,,,,,,,https://wa.me/77071452802,,,,,,,,,,,,,,,51.173762,71.381282,https://2gis.com/firm/70000001019773203
Beauty Zone,,Ногтевые студии; Парикмахерские; Косметолог; Эпиляция; Оформление бровей и ресниц; Перманентный макияж; Визажисты,"улица Каныш Сатпаев, 18",,,Қараөткел ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.8,77,87774283033 (администратор),87078420013 (дамский мастер),,,,,,,,https://instagram.com/beauty.zone.ast,,,,,,,,,,,,https://wa.me/77774283033,,,,,,,,,,,,,,,51.14344,71.475317,https://2gis.com/firm/70000001067109297
Galiya,салон красоты,Ногтевые студии; Парикмахерские; Оформление бровей и ресниц; Визажисты; Эпиляция,"улица Жумекен Нажимеденов, 16Б",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.1,423,87021300209,,,,,,,,,https://instagram.com/galiya.beauty.salon,,,,,,,,,,,,https://wa.me/77021300209,,,,,,,,,,,,,,,51.11793,71.478435,https://2gis.com/firm/70000001019772564
Silkway Beauty,салон красоты,Ногтевые студии; Парикмахерские; Визажисты; Оформление бровей и ресниц,"проспект Туран, 37",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.6,257,87026647339,87018866636,87027772526,,,,,,,https://instagram.com/silkwaybeauty,,,,,,,,,,,,https://wa.me/77026647339,https://wa.me/77027772526,,,,,,,,,,,,,,51.13227,71.402781,https://2gis.com/firm/70000001068026650
